caps,sale,at,ap,bkvlps,ceq,ch,ci,cogs,dp,cik,fyear
477.5,1817.1,1573.9,156.4,29.2306,1034.5,53.5,77.4,1470.3,33.1,1750.0,2021.0
252.989,324.14,416.197,56.242,5.8397,204.554,29.902,4.409,220.018,10.989,3197.0,2021.0
41.514,0.0,0.284,0.975,-0.0527,-3.011,0.045,-0.614,0.0,0.0,1961.0,2021.0
11.93,182.088,144.439,8.977,21.8921,77.082,4.843,13.101,113.238,4.049,2098.0,2021.0
16.913,2025.204,374.703,168.224,36.828,160.386,97.825,11.888,1975.547,19.797,2178.0,2021.0
11069.0,16434.0,12419.0,1406.0,6.2113,7497.0,2535.0,3142.0,8209.0,296.0,2488.0,2021.0
228.366,3823.878,10186.776,189.069,24.4114,5980.835,185.786,510.097,1756.688,745.259,2809.0,2021.0
1115.8,10323.0,26859.2,736.8,61.1558,13539.7,4468.9,2777.9,5864.8,1321.3,2969.0,2021.0
0.393,177.077,207.599,9.397,8.5879,24.613,5.616,12.648,135.835,1.86,353184.0,2021.0
314.1,3925.3,3693.1,308.4,40.6683,1667.4,282.4,947.3,2429.6,128.0,3453.0,2021.0
19.989,108.564,433.217,7.274,32.1822,242.203,0.886,34.82,73.848,15.122,3545.0,2021.0
121.677,0.0,0.0,0.019,-3.5806,-0.111,0.0,-0.028,0.0,0.0,745543.0,2021.0
79.6,5109.1,8590.7,236.0,32.0454,5297.1,882.9,1498.2,2196.0,419.0,4127.0,2021.0
453.819,5739.747,17299.581,677.785,300.147,5885.283,2704.137,1062.813,3616.118,696.955,4457.0,2021.0
821.97,988.001,1805.398,64.793,19.9656,624.324,67.487,15.801,644.147,110.776,1783400.0,2021.0
62.09,61.229,770.569,44.518,13.7526,238.337,50.748,6.445,34.845,11.87,1102238.0,2021.0
7.444,17.628,45.43,0.746,3.2886,19.893,8.145,0.678,6.046,4.856,744825.0,2021.0
171.948,127.553,192.835,2.506,3.953,132.976,110.69,12.782,47.831,4.139,713425.0,2021.0
1012.526,5546.514,11898.187,470.252,29.6634,6871.884,346.772,1024.077,3341.788,292.112,1037868.0,2021.0
174.561,344.92,485.632,44.23,4.3043,82.573,10.337,1.692,287.639,17.877,6176.0,2021.0
78.087,1.663,1.138,0.163,-0.0467,-2.17,0.148,-0.374,0.395,0.038,6494.0,2021.0
368.595,12612.05,4569.219,1199.324,31.6733,1072.425,216.444,149.136,11840.419,178.934,821026.0,2021.0
21.058,0.041,0.697,0.001,0.1051,0.346,0.05,0.04,0.024,0.0,352991.0,2021.0
0.0,85249.0,56136.0,15573.0,40.1375,22477.0,943.0,3167.0,78266.0,996.0,7084.0,2021.0
318.033,3980.067,2112.676,311.401,37.3614,929.067,76.62,216.03,3584.49,124.221,894405.0,2021.0
3.761,24.965,20.854,1.737,2.2811,10.354,0.003,0.213,17.756,0.613,7623.0,2021.0
327.0,2111.0,6612.0,236.0,48.2807,2752.0,210.0,231.0,1285.0,245.0,1674862.0,2021.0
59.692,117.48,114.955,8.59,11.1864,81.012,5.276,5.065,71.447,3.994,8146.0,2021.0
92.037,444.908,609.138,34.86,8.1519,256.604,29.757,-23.623,361.906,28.1,8063.0,2021.0
149.334,774.802,550.361,32.266,72.7689,430.792,229.846,61.599,659.211,18.031,744187.0,2021.0
1531.3,15005.4,48772.5,141.1,13.3823,5670.1,2575.2,2623.9,8129.6,510.7,8670.0,2021.0
85.847,902.664,1133.028,43.987,27.032,667.365,15.082,81.712,640.426,44.665,8947.0,2021.0
147.716,799.023,1199.325,56.243,27.1631,877.015,103.239,86.938,531.268,48.387,9326.0,2021.0
0.0,13811.0,19714.0,4759.0,11.3046,3627.0,563.0,1250.0,11085.0,700.0,9389.0,2021.0
516.562,1258.846,2576.82,131.076,28.1891,1428.766,102.86,70.35,712.765,91.085,9984.0,2021.0
4.59,18.105,24.435,1.416,1.0056,9.499,11.279,8.67,12.199,1.543,10048.0,2021.0
1911.0,11985.0,46890.0,539.0,13.4078,23857.0,5280.0,3251.0,4924.0,2168.0,756894.0,2021.0
6197.0,12784.0,33521.0,1246.0,18.0956,9077.0,2951.0,1229.0,6655.0,890.0,10456.0,2021.0
177.014,3235.919,2271.807,208.162,24.2119,932.546,257.745,181.095,2293.023,55.145,109563.0,2021.0
38.419,543.494,511.846,65.96,16.6701,208.743,61.756,24.021,392.25,16.861,729580.0,2021.0
14399.0,133613.0,366596.0,8040.0,19.484,81790.0,2921.0,21762.0,56301.0,16206.0,732712.0,2021.0
35592.0,354636.0,958784.0,41081.0,228.4142,506199.0,88184.0,91041.0,229055.0,10718.0,1067983.0,2021.0
9052.0,62272.0,138552.0,9261.0,-25.4688,-14999.0,8052.0,1184.0,55110.0,1772.0,12927.0,2021.0
3807.0,3664.0,3538.0,262.0,19.7135,1514.0,112.0,561.0,2614.0,164.0,1393066.0,2021.0
320.0,78830.0,391003.0,11258.0,26.9054,42210.0,12694.0,17622.0,54290.0,6513.0,1001085.0,2021.0
8.298,240.43,156.79,12.388,8.2611,74.978,0.0,3.732,182.377,6.669,14177.0,2021.0
44361.0,46385.0,109314.0,2949.0,16.5193,35946.0,13979.0,7585.0,8601.0,10759.0,14272.0,2021.0
12745.0,157739.0,287272.0,39492.0,23.0448,75442.0,30681.0,10552.0,120004.0,15172.0,313807.0,2021.0
0.0,3933.0,6373.0,218.0,5.7137,2737.0,868.0,908.0,1463.0,79.0,14693.0,2021.0
168.83,2777.604,1843.926,331.47,8.4647,318.57,30.115,138.759,1497.957,52.33,14707.0,2021.0
394.5,5846.2,5425.0,693.5,24.8814,1914.2,354.5,604.5,4002.1,178.1,14930.0,2021.0
0.0,1510.644,1607.479,86.243,35.2328,720.44,14.462,70.944,1190.482,37.373,1104657.0,2021.0
4710.9,2054.4,2419.5,180.2,-1.692,-113.7,552.9,231.5,1371.9,105.4,746838.0,2021.0
12.16,73.473,100.809,2.773,0.5341,40.834,12.487,12.24,38.232,2.815,15847.0,2021.0
1721.118,528.657,1333.736,83.197,15.4886,1063.06,600.162,-35.625,123.179,24.248,733269.0,2021.0
18.258,49.208,62.974,11.271,7.7483,34.046,20.007,3.246,32.671,0.388,356037.0,2021.0
42.549,512.925,664.462,55.537,14.4062,463.578,141.465,49.53,301.376,26.93,26058.0,2021.0
367.153,242.433,246.081,9.248,2.6997,180.254,126.562,-43.205,150.78,5.624,320121.0,2021.0
