tic,SP_ENTITY_NAME,SP_ENTITY_ID,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_TOPICTAG,SP_TICKER,SP_EXCHANGE_TICKER,SP_COMPANY_NAME,_merge,YH_BUS_DESC,SA_BUS_DESC
FMBI,"First Midwest Bancorp, Inc. (NASDAQGM:FMBI)",100268.0,"As of February 15, 2022, First Midwest Bancorp, Inc. was acquired by Old National Bancorp. First Mid","First Midwest Bancorp, Inc. operates as a bank holding company for First Midwest Bank that provides ",Anti-Fraud; EDI (Electronic Data Interchange); Consumer Lending,FMBI,NASDAQGM:FMBI,"First Midwest Bancorp, Inc.",both,nan,nan
CBT,Cabot Corporation (NYSE:CBT),4001703.0,Cabot Corporation operates as a specialty chemicals and performance materials company. The company o,"Cabot Corporation (Cabot) is a global specialty chemicals and performance materials company.

The co",CleanTech; Pollution Control,CBT,NYSE:CBT,Cabot Corporation,both,Cabot Corporation operates as a specialty chemicals and performance materials company. The company o,Cabot Corporation operates as a specialty chemicals and performance materials company. The company o
ELV,"Elevance Health, Inc. (NYSE:ELV)",4072364.0,"Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the ",nan,Outpatient Care; Employee Benefits; Chronic Diseases,ELV,NYSE:ELV,"Elevance Health, Inc.",both,"Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the ","Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the "
CUBI,"Customers Bancorp, Inc. (NYSE:CUBI)",4293992.0,"Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financ","Customers Bancorp, Inc. operates as the bank holding company for Customers Bank (collectively referr",Consumer Lending; Fintech; Blockchain; Digital Brokerage; Banking as a Service; Online Payments,CUBI,NYSE:CUBI,"Customers Bancorp, Inc.",both,"Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financ","Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financ"
EHC,Encompass Health Corporation (NYSE:EHC),4021543.0,Encompass Health Corporation provides post-acute healthcare services in the United States and Puerto,"Encompass Health Corporation provides post-acute healthcare services.

The company owns and operates",Health Diagnostics; Neurology,EHC,NYSE:EHC,Encompass Health Corporation,both,Encompass Health Corporation provides post-acute healthcare services in the United States and Puerto,Encompass Health Corporation provides post-acute healthcare services in the United States and Puerto
RBCN,"Rubicon Technology, Inc. (OTCQB:RBCN)",4384786.0,"Rubicon Technology, Inc. provides monocrystalline sapphire for applications in optical and industria","Rubicon Technology, Inc. is an advanced materials provider specializing in monocrystalline sapphire ",Sensors,RBCN,OTCQB:RBCN,"Rubicon Technology, Inc.",both,"Rubicon Technology, Inc. provides monocrystalline sapphire for applications in optical and industria","Rubicon Technology, Inc. provides monocrystalline sapphire for applications in optical and industria"
UAA,"Under Armour, Inc. (NYSE:UAA)",4256987.0,"Under Armour, Inc., together with its subsidiaries, engages developing, marketing, and distributing ","Under Armour, Inc. is a developer, marketer, and distributor of branded performance apparel, footwea",Lifestyle; Wearables; Brand Marketing; Smart Clothing; Amateur Sports,UAA,NYSE:UAA,"Under Armour, Inc.",both,"Under Armour, Inc., together with its subsidiaries, engages developing, marketing, and distributing ","Under Armour, Inc., together with its subsidiaries, engages developing, marketing, and distributing "
WING,Wingstop Inc. (NASDAQGS:WING),4227527.0,"Wingstop Inc., together with its subsidiaries, franchises and operates restaurants under the Wingsto","Wingstop Inc. (Wingstop) operates a fast casual chicken wings-focused restaurant chain worldwide.

T",,WING,NASDAQGS:WING,Wingstop Inc.,both,"Wingstop Inc., together with its subsidiaries, franchises and operates restaurants under the Wingsto","Wingstop Inc., together with its subsidiaries, franchises and operates restaurants under the Wingsto"
GPK,Graphic Packaging Holding Company (NYSE:GPK),4239834.0,"Graphic Packaging Holding Company, together with its subsidiaries, designs, produces, and sells cons",Graphic Packaging Holding Company provides consumer packaging that makes a world of difference. The ,Packaging Services,GPK,NYSE:GPK,Graphic Packaging Holding Company,both,"Graphic Packaging Holding Company, together with its subsidiaries, designs, produces, and sells cons","Graphic Packaging Holding Company, together with its subsidiaries, designs, produces, and sells cons"
CARR,Carrier Global Corporation (NYSE:CARR),4158618.0,"Carrier Global Corporation provides heating, ventilating, and air conditioning (HVAC), refrigeration",Carrier Global Corporation is a global leader in intelligent climate and energy solutions with a foc,Energy Management; Industrial Automation; Physical Security; Smart Building; Security Management,CARR,NYSE:CARR,Carrier Global Corporation,both,"Carrier Global Corporation provides heating, ventilating, and air conditioning (HVAC), refrigeration","Carrier Global Corporation provides heating, ventilating, and air conditioning (HVAC), refrigeration"
