Unnamed: 0,conm,tic,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_COMPANY_NAME,YH_BUS_DESC,SA_BUS_DESC
0,FIRST MIDWEST BANCORP INC,FMBI,"As of February 15, 2022, First Midwest Bancorp, Inc. was acquired by Old National Bancorp. First Midwest Bancorp, Inc. operates as the bank holding co","First Midwest Bancorp, Inc. operates as a bank holding company for First Midwest Bank that provides various commercial, treasury management, equipment","First Midwest Bancorp, Inc.",nan,nan
13,GAMING & LEISURE PPTYS,GLPI,"GLPI is engaged in the business of acquiring, financing, and owning real estate property to be leased to gaming operators in triple-net lease arrangem",nan,"Gaming and Leisure Properties, Inc.","GLPI is engaged in the business of acquiring, financing, and owning real estate property to be leased to gaming operators in triple-net lease arrangem","GLPI is engaged in the business of acquiring, financing, and owning real estate property to be leased to gaming operators in triple-net lease arrangem"
14,ESTEE LAUDER COMPANIES INC,EL,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. It offers skin care p","The Estee Lauder Companies Inc. operates as one of the world's leading manufacturers, marketers and sellers of quality skin care, makeup, fragrance an",The Estée Lauder Companies Inc.,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. It offers skin care p","The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. It offers skin care p"
54,NEXTIER OILFIELD SOLUTNS INC,NEX,"As of September 1, 2023, NexTier Oilfield Solutions Inc. was acquired by Patterson-UTI Energy, Inc. NexTier Oilfield Solutions Inc., through its subsi","NexTier Oilfield Solutions Inc. operates as the United States (U.S.) land focused oilfield service company, with a diverse set of well completion and ",NexTier Oilfield Solutions Inc.,nan,nan
77,SOUTHWESTERN ENERGY CO,SWN,"As of October 1, 2024, Southwestern Energy Company was acquired by Chesapeake Energy Corporation. Southwestern Energy Company, an independent energy c","Southwestern Energy Company operates as an independent energy company. The company engages in development, exploration and production activities, incl",Southwestern Energy Company,nan,nan
89,FEDERAL REALTY INVESTMENT TR,FRT,"Federal Realty is a recognized leader in the ownership, operation and redevelopment of high-quality retail-based properties located primarily in major",nan,Federal Realty Investment Trust,"Federal Realty is a recognized leader in the ownership, operation and redevelopment of high-quality retail-based properties located primarily in major","Federal Realty is a recognized leader in the ownership, operation and redevelopment of high-quality retail-based properties located primarily in major"
129,SIX FLAGS ENTERTAINMENT CORP,SIX,"As of July 1, 2024, Six Flags Entertainment Corporation was acquired by Cedar Fair, L.P. Six Flags Entertainment Corporation owns and operates regiona","Six Flags Entertainment Corporation owns and operates regional theme parks and water parks.

The company is the largest regional theme park operator i",Six Flags Entertainment Corporation,nan,nan
141,MID-AMERICA APT CMNTYS INC,MAA,"MAA, an S&P 500 company, is a real estate investment trust (REIT) focused on delivering full-cycle and superior investment performance for shareholder",nan,"Mid-America Apartment Communities, Inc.","MAA, an S&P 500 company, is a real estate investment trust (REIT) focused on delivering full-cycle and superior investment performance for shareholder","MAA, an S&P 500 company, is a real estate investment trust (REIT) focused on delivering full-cycle and superior investment performance for shareholder"
142,RUTHS HOSPITALITY GROUP INC,RUTH,"Ruth's Hospitality Group, Inc., together with its subsidiaries, develops, operates, and franchises fine dining restaurants under the Ruth’s Chris Stea","Ruth’s Hospitality Group, Inc. develops and operates fine dining restaurants under the trade name Ruth’s Chris Steak House.

The company operates Ruth","Ruth's Hospitality Group, Inc.",nan,nan
195,NEWPARK RESOURCES,NR,"NPK International Inc. provides products, rentals, and services primarily to the oil and natural gas exploration and production (E&P) industry. It ope","NPK International Inc. is a site access solutions company that manufactures, sells, and rents industry-leading sustainable composite matting products,",NPK International Inc.,"Newpark Resources, Inc. provides products, rentals, and services primarily to the oil and natural gas exploration and production (E&P) industry. It op","Newpark Resources, Inc. provides products, rentals, and services primarily to the oil and natural gas exploration and production (E&P) industry. It op"
212,INSTEEL INDUSTRIES,IIIN,"Insteel Industries, Inc., together with its subsidiaries, manufactures and markets steel wire reinforcing products for concrete construction applicati",Insteel Industries Inc. (Insteel) manufactures steel wire reinforcing products for concrete construction applications. The company manufactures and ma,"Insteel Industries, Inc.","Insteel Industries, Inc., together with its subsidiaries, manufactures and markets steel wire reinforcing products for concrete construction applicati","Insteel Industries, Inc., together with its subsidiaries, manufactures and markets steel wire reinforcing products for concrete construction applicati"
236,WHITING PETROLEUM CORP,WLL,"Whiting Petroleum Corporation was acquired by Chord Energy Corporation. Whiting Petroleum Corporation, an independent oil and gas company, engages in ","Chord Energy operates as an independent oil and gas company.

The company engages in the development, production and acquisition activities primarily ",Whiting Petroleum Corporation,nan,"Chord Energy Corporation operates as an independent exploration and production company in the United States. It acquires, explores, develops, and prod"
243,TREEHOUSE FOODS INC,THS,"TreeHouse Foods, Inc. manufactures and distributes private brands snacks and beverages in the United States and internationally. The company provides ","TreeHouse Foods, Inc manufactures and distributes private brands snacks and beverages in the United States and internationally.

The company’s portfol","TreeHouse Foods, Inc.","TreeHouse Foods, Inc. manufactures and distributes private brands snacks and beverages in the United States and internationally. The company provides ","TreeHouse Foods, Inc. manufactures and distributes private brands snacks and beverages in the United States and internationally. The company provides "
246,ADVANCED EMISSIONS SOLUTIONS,ADES,"As of February 1, 2023, Advanced Emissions Solutions, Inc. was acquired by Arq Limited, in a reverse merger transaction. Advanced Emissions Solutions,","Advanced Emissions Solutions, Inc. engages in the sale of consumable air and water treatment options, including activated carbon (AC) and chemical tec","Advanced Emissions Solutions, Inc.",nan,nan
258,WARNER BROS DISCOVERY INC,WBD,"Warner Bros. Discovery, Inc. operates as a media and entertainment company worldwide. It operates through three segments: Studios, Network, and DTC. T",Warner Bros. Discovery Inc. (WBD) is a premier global media and entertainment company that provides audiences with a differentiated portfolio of conte,"Warner Bros. Discovery, Inc.","Warner Bros. Discovery, Inc. operates as a media and entertainment company worldwide. It operates through three segments: Studios, Network, and DTC. T","Warner Bros. Discovery, Inc. operates as a media and entertainment company worldwide. It operates through three segments: Studios, Network, and DTC. T"
262,MACERICH CO,MAC,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of ",nan,The Macerich Company,"Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of ","Macerich is a fully integrated, self-managed and self-administered real estate investment trust (REIT). As a leading owner, operator and developer of "
