tic,aco,acodo,acominc,acox,acqgdwl,acqintan,act,am,ao,aocidergl,aocipen,aodo,aol2,aoloch,aox,ap,apalch,aqa,aqc,aqd,aqeps,aqp,aqpl1,at,billexce,bkvlps,caps,capx,capxv,ceq,ceql,ceqt,ch,che,chech,ci,cibegni,cicurr,cidergl,cimii,cipen,citotal,cld2,cld3,cld4,cld5,cogs,cshfd,cshi,csho,cshpri,cshr,cstk,cstkcv,dc,dclo,dd1,dd2,dd3,dd4,dd5,derac,derlc,dilavx,dlc,dlcch,dltis,dlto,dltp,dltr,dltt,dm,dn,dp,dpact,dpc,dpvieb,drc,drlt,dt,dtea,dted,dteeps,dtep,dudd,dv,dvc,dvt,dxd2,dxd3,dxd4,dxd5,ebit,ebitda,emp,epsfi,epsfx,epspi,epspx,esub,exre,fatb,fatc,fate,fatl,fato,fatp,fca,fiao,fincf,fopo,fopox,gdwl,gp,ib,ibadj,ibc,ibcom,ibmii,icapt,idit,intan,intano,intpn,invch,invfg,invrm,invt,invwip,ivaco,ivaeq,ivao,ivch,ivncf,ivst,lco,lcox,lcoxdr,lct,lo,lol2,loxdr,lse,lt,mibn,mibt,mii,mrc1,mrc2,mrc3,mrc4,mrc5,mrct,mrcta,ni,niadj,nopi,nopio,np,oancf,oiadp,oibdp,opeps,oprepsx,optca,optex,optexd,optfvgr,optgr,optlife,optosby,optosey,optprcby,optprcca,optprcex,optprcey,optprcgr,optprcwa,optrfr,optvol,pi,pidom,pifo,ppegt,ppent,ppeveb,prstkc,rca,rcd,rceps,rcp,re,reajo,recch,recco,recd,rect,recta,rectr,reuna,revt,rstche,sale,seq,siv,spi,spid,spieps,spioa,spiop,sppe,sppiv,sstk,stkco,stkcpa,teq,tfva,tfvl,tlcf,tstk,tstkc,tstkn,txc,txdb,txdba,txdc,txdfed,txdfo,txdi,txditc,txds,txfed,txfo,txndb,txndba,txndbl,txp,txpd,txs,txt,txtubbegin,txtubend,txtubmax,txtubposinc,txtubpospdec,txtubpospinc,txtubsettle,txtubsoflimit,txtubtxtr,txtubxintbs,txtubxintis,wcap,xacc,xad,xint,xopr,xpp,xpr,xrd,xrdp,xrent,xsga,cik,naicsh,sich,cshtr_c,dvpsp_c,dvpsx_c,prcc_c,prch_c,prcl_c,cshtr_f,dvpsp_f,dvpsx_f,mkvalt,prcc_f,prch_f,prcl_f,spcsrc_num
WIRE,3.167,3.167,0.0,3.167,,,1035.05,0.0,0.57,0.0,0.0,0.57,,0.243,0.57,75.353,66.886,,0.0,,,,,1530.536,,66.4923,72.753,118.252,118.252,1339.089,1339.089,1339.089,438.99,438.99,255.867,541.422,541.422,0.0,0.0,0.0,0.0,541.422,,,,,1701.687,20.649,27.083,20.139,20.439,0.027,0.271,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,541.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.288,265.181,23.288,265.181,0.0,0.0,0.0,,,,,0.0,1.633,1.635,1.635,0.0,0.0,0.0,0.0,699.203,722.491,1.44,26.22,26.22,26.49,26.49,0.0,0.0,217.985,92.414,376.801,0.0,0.0,72.897,,-0.55,-44.396,9.617,9.617,0.0,891.034,541.422,541.422,541.422,541.422,541.422,1339.089,,0.0,0.0,0.4,-8.494,123.401,54.012,100.816,40.422,0.097,0.0,0.0,0.0,-118.155,0.0,78.747,0.0,0.0,154.1,1.246,,1.246,1530.536,191.447,0.0,0.0,0.0,,,,,,,,541.422,541.422,0.585,0.585,0.0,418.418,699.203,722.491,26.49,26.22,0.006,0.322,0.241,,0.0,,0.994,0.747,48.77,53.01,45.87,49.67,,44.51,,,699.397,,,760.097,494.916,760.097,43.296,,,,,1421.079,0.0,-216.808,0.0,3.8,492.077,0.0,491.126,1421.079,2592.721,,2592.721,1339.089,0.0,0.0,,,,,,0.0,1.083,26.006,,1339.089,,,0.0,155.014,155.014,6.944,155.711,36.101,0.0,2.264,2.132,0.0,2.264,36.101,0.132,143.392,0.0,-36.101,,,0.0,155.5,12.319,157.975,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,880.95,78.747,,0.391,1870.23,,3.0,,,,168.543,850460.0,331420.0,3357.0,40167396.0,0.08,0.06,143.1,151.64,56.27,40167396.0,0.08,0.06,2881.8909,143.1,151.64,56.27,4.0
LNT,344.0,,0.0,,,,1069.0,,1980.0,0.0,0.0,,146.0,-351.0,,436.0,,,0.0,,,,32.0,18553.0,,23.9146,2749.0,1169.0,1187.0,5990.0,5990.0,5990.0,,39.0,-16.0,659.0,659.0,0.0,0.0,0.0,0.0,659.0,,,,,2217.0,250.7,250.858,250.475,250.2,22.334,3.0,0.01,,12.0,636.0,410.0,511.0,302.0,203.0,,,659.0,1151.0,126.0,600.0,,,8.0,6758.0,,,657.0,5263.0,657.0,,,,,,,,,-15.0,403.0,403.0,418.0,,,,,795.0,1452.0,3.313,2.63,2.63,2.63,2.63,62.0,0.0,,,,,,,,-13.0,130.0,17.0,,0.0,1452.0,674.0,659.0,674.0,659.0,,12748.0,,0.0,0.0,272.0,,,,246.0,,441.0,508.0,496.0,0.0,-728.0,,409.0,,,2054.0,1824.0,8.0,,18553.0,12563.0,0.0,0.0,0.0,,,,,,,,674.0,659.0,82.0,82.0,515.0,582.0,795.0,1452.0,2.63,2.63,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,,600.0,,,19763.0,14500.0,19763.0,200.0,,,,,3250.0,,-530.0,267.0,,440.0,0.0,173.0,,3669.0,,3669.0,5990.0,0.0,0.0,,,,,0.0,0.0,28.0,14.0,10.0,5990.0,422.0,9.0,,12.0,12.0,0.383,4.0,1927.0,0.0,115.0,,,-78.0,1927.0,,1.0,,-1927.0,696.0,2623.0,58.0,3.0,3.0,-74.0,,,,,,,,,,,,-985.0,,,277.0,2217.0,,41.0,,,,,352541.0,22111.0,4931.0,310875713.0,1.61,1.61,61.47,62.35,45.99,310875713.0,1.61,1.61,15396.6983,61.47,62.35,45.99,2.0
AMR,32.014,0.0,-58.503,0.462,,,747.986,13.244,158.211,0.0,-58.503,149.685,1.368,70.284,158.211,90.09,,-12.691,0.0,-0.67,-0.69,-19.525,27.075,1857.712,,29.7233,784.743,83.3,83.3,546.909,546.909,472.712,81.211,93.188,-61.957,342.272,288.79,0.0,0.0,0.0,53.482,342.272,0.522,0.259,0.15,0.003,1679.802,18.872,20.8,18.4,18.441,0.115,0.208,0.01,,0.791,3.536,1.889,450.504,0.292,0.006,,,286.929,3.536,,0.0,455.422,449.435,139.576,450.018,452.104,0.0,149.811,496.3,162.149,496.3,0.0,0.0,453.554,,,,,-6.195,0.0,0.0,0.0,1.367,450.245,0.142,0.003,365.072,514.883,3.5,15.3,15.2,15.66,15.56,-4.149,0.0,0.0,19.992,634.263,13.614,613.565,26.389,,-6.683,-147.045,17.216,17.216,0.0,578.784,286.929,286.929,286.929,286.929,286.929,996.927,0.334,74.197,74.197,63.061,-21.331,81.24,,129.382,0.0,4.842,20.46,45.335,24.662,-89.855,11.977,202.303,72.415,72.415,295.929,564.539,0.0,564.539,1857.712,1310.803,0.0,0.0,0.0,1.1,1.066,0.955,0.897,0.884,4.902,2.775,288.79,288.79,14.024,13.69,0.0,174.943,365.072,514.883,16.37,16.0,0.0,0.023,0.0,,0.0,,0.023,0.023,60.2,,,60.2,,60.2,,,290.538,,,1307.823,811.523,1307.823,0.786,0.404,0.02,0.02,0.621,-130.242,-58.503,-336.24,4.161,0.393,493.402,0.0,489.241,-71.739,2258.586,11.977,2258.586,546.909,13.265,-18.904,,,,,,-9.911,0.0,5.315,,546.909,28.443,41.275,1808.0,107.8,107.8,2.4,3.772,0.317,0.0,-0.163,-0.003,0.0,-0.163,0.317,-0.16,2.586,0.0,-0.317,160.483,160.8,0.0,-64.322,1.186,3.609,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.005,,452.057,129.888,,69.654,1743.703,31.552,-1.261,,,2.169,63.901,1704715.0,21211.0,1220.0,62254061.0,0.0,0.0,61.05,69.285,10.52,62254061.0,0.0,0.0,1123.32,61.05,69.285,10.52,
SFM,22.112,0.564,-3.758,0.564,,,567.716,0.0,13.513,-3.758,0.0,13.513,0.0,-127.743,13.513,145.901,-12.818,,0.0,,,,0.0,2923.115,,8.6387,704.701,102.378,102.378,959.876,959.876,406.038,245.287,247.004,75.563,248.873,244.157,0.0,4.716,0.0,0.0,248.873,1.556,1.734,1.904,1.758,3888.815,116.077,111.114,111.114,115.377,0.026,0.111,0.001,,9.656,152.833,251.556,1.734,1.904,1.758,0.0,5.107,244.157,152.833,,0.0,1345.909,0.0,0.685,1355.565,259.656,0.0,124.1,820.751,234.058,820.751,12.586,0.0,1508.398,,,,,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,334.076,458.176,31.0,2.1,2.1,2.12,2.12,0.0,0.0,0.0,58.621,797.169,1737.256,0.0,15.753,,0.0,-186.858,21.812,21.812,368.878,2211.054,244.157,244.157,244.157,244.157,244.157,2315.441,,553.838,184.96,11.431,-11.417,265.387,0.0,265.387,0.0,0.0,0.0,0.0,0.0,-102.378,1.717,202.412,39.722,27.136,513.473,36.306,255.107,36.306,2923.115,1963.239,0.0,0.0,0.0,209.402,190.278,193.676,190.815,159.902,944.073,781.298,244.157,244.157,0.0,0.0,0.0,364.799,334.076,458.176,2.12,2.1,0.274,0.229,0.115,7.66,0.422,4.5,1.33,1.363,19.19,24.35,18.84,19.81,24.45,22.95,0.83,36.35,322.392,,,2608.799,1788.048,2608.799,188.343,,,,,255.064,-3.758,16.928,17.383,,33.213,0.0,4.191,258.822,6099.869,1.717,6099.869,959.876,0.0,0.0,,,,,0.0,0.0,2.17,15.883,13.433,959.876,0.0,255.107,0.0,0.0,0.0,0.0,80.044,57.895,0.0,-0.178,-1.663,0.0,-1.809,57.895,-0.146,60.329,0.0,-57.895,353.572,411.467,12.327,82.888,19.715,78.235,1.803,1.77,,0.016,0.08,0.031,0.0,0.0,1.77,,,54.243,162.69,45.9,11.684,5641.693,21.548,7.517,0.0,0.0,257.365,1752.878,1575515.0,445110.0,5411.0,573501235.0,0.0,0.0,29.68,30.61,19.13,573501235.0,0.0,0.0,3297.8635,29.68,30.61,19.13,
ENSG,35.014,35.014,0.0,35.014,6.0,0.075,639.709,1.435,116.76,0.0,0.0,114.807,,-39.035,114.807,58.116,69.839,-0.25,6.0,0.0,0.0,-0.384,,2850.623,9.337,18.4955,369.76,69.55,69.55,1020.768,1020.768,953.92,262.201,275.964,25.639,197.725,197.725,0.0,0.0,3.073,0.0,194.652,,,,,2161.615,56.925,58.134,55.19,54.486,0.287,0.058,0.001,1.953,0.0,55.941,3.818,3.95,4.086,4.227,,,194.652,55.941,,45.218,1056.515,0.0,3.056,1209.398,152.883,152.883,55.985,295.767,56.844,295.767,9.337,0.0,1265.339,,,,,0.0,11.548,11.715,11.715,3.818,3.95,4.086,4.227,258.286,314.271,25.9,3.42,3.42,3.57,3.57,0.0,0.0,646.221,10.253,266.551,1278.884,0.0,121.164,,-104.103,-76.138,21.806,21.806,60.469,465.846,194.652,194.652,197.725,194.652,197.725,2231.112,,66.848,6.379,5.69,0.0,0.0,0.0,0.0,0.0,-93.581,0.0,,32.257,-173.907,13.763,409.011,20.583,11.246,523.068,96.443,,96.443,2850.623,1828.909,0.946,0.946,3.073,135.125,133.389,132.409,132.304,132.199,665.426,1173.645,194.652,194.652,3.486,3.486,0.0,275.684,258.286,314.271,3.53,3.38,0.105,2.183,0.516,32.82,0.621,6.2,4.038,4.038,27.71,44.76,17.8,36.6,80.19,21.02,1.0,42.4,258.004,,,2323.073,2027.306,2323.073,11.829,,,,,733.992,0.0,-30.771,0.0,11.213,328.731,0.0,328.731,733.992,2627.461,,2627.461,1020.768,27.481,3.081,0.02,0.02,1.065,1.639,,0.0,9.18,18.678,,1021.714,,,,83.042,83.042,2.944,61.003,0.0,33.147,-0.724,-0.716,0.0,-0.724,0.0,-0.008,49.105,0.0,33.147,367.35,334.203,0.0,65.547,11.898,60.279,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,116.641,388.428,,6.849,2313.19,,2.121,0.0,0.0,153.535,151.575,1125376.0,623110.0,8051.0,64224474.0,0.21,0.2125,83.96,98.6641,68.29,64224474.0,0.21,0.2125,4633.7524,83.96,98.6641,68.29,3.0
JELD,170.955,170.955,-93.746,170.955,,,1739.857,33.13,230.835,,,230.835,266.189,-0.548,230.835,418.774,70.184,-0.26,0.0,0.0,0.0,-0.4,79.001,3738.671,,9.3378,719.451,83.603,83.603,842.218,842.218,74.824,395.596,396.89,-339.704,133.769,168.822,-77.904,3.85,0.0,39.001,133.769,1.765,1.433,0.374,0.131,3703.208,98.371,90.194,90.194,96.563,1.362,0.902,0.01,,5.373,82.441,24.585,22.924,671.579,18.475,6.56,5.527,168.822,82.441,,585.931,850.297,547.598,666.534,1834.014,1075.411,1075.411,134.246,1339.057,140.422,1339.057,13.884,0.278,1916.455,-0.872,-0.01,-0.01,-1.342,-14.626,0.0,0.0,0.0,,,,,270.375,404.621,24.7,1.72,1.72,1.75,1.75,0.0,-21.8,519.008,59.52,1461.884,201.781,0.0,97.449,9.886,-5.448,-401.209,36.182,36.182,545.213,1068.511,168.822,168.822,168.822,168.822,168.822,2676.232,,767.394,222.181,36.513,-134.482,101.34,478.566,615.971,36.065,-12.924,0.0,,0.052,-92.361,1.294,371.416,28.755,14.871,888.868,164.317,5.527,164.039,3738.671,2896.453,0.0,0.0,0.0,54.18,46.689,37.503,29.658,18.882,186.912,57.604,168.822,168.822,13.012,13.012,0.0,175.666,270.375,404.621,1.76,1.73,0.08,1.527,0.7,14.39,0.31,6.0,2.632,2.162,20.41,27.22,14.48,23.31,29.01,22.23,0.81,53.02,204.362,55.579,148.783,2339.642,1000.585,2339.642,325.342,-1.917,-0.02,-0.02,-2.95,121.865,,-91.92,0.0,10.177,556.041,,552.041,215.611,4771.719,1.294,4771.719,842.218,4.218,-1.059,0.01,0.01,1.049,1.614,,1.979,10.184,20.209,20.209,842.218,345.19,5.527,1464.222,0.0,0.0,0.0,50.513,9.254,204.232,-14.973,3.688,-12.734,-14.973,9.254,-5.927,0.663,49.37,194.978,317.667,122.689,16.237,74.953,0.48,35.54,16.995,26.825,,0.869,0.0,10.367,0.0,0.163,19.3,7.486,,850.989,342.661,31.4,77.966,4367.098,,31.764,,,80.731,663.89,1674335.0,321911.0,2430.0,172331358.0,0.0,0.0,26.36,31.47,22.9,172331358.0,0.0,0.0,2377.5138,26.36,31.47,22.9,
LAD,63.0,63.0,-3.0,63.0,0.0,0.0,3533.3,0.0,1745.2,-1.9,0.0,1745.2,6.9,-424.6,1745.2,235.4,311.4,-15.1,2699.3,-0.52,-0.52,-20.2,40.4,11146.9,,156.8271,58.3,260.4,260.4,4626.4,4626.4,2850.0,174.8,174.8,16.0,1066.0,1062.7,-1.1,4.4,2.6,0.0,1063.4,3.6,9.2,2.9,2.9,18572.7,29.0,29.5,29.5,28.8,83.455,1711.6,58.02,0.0,53.6,272.7,62.8,86.0,53.5,64.7,6.4,,1060.1,1462.8,-685.3,3992.4,1132.5,864.2,3051.0,3547.4,1366.4,2660.5,127.3,422.6,166.3,422.6,,191.2,3820.1,-7.6,-0.26,-0.26,-10.3,-26.5,38.8,38.8,38.8,,,,,1690.0,1817.3,21.15,36.54,36.54,36.81,36.81,0.0,2.5,1748.5,93.9,667.2,395.9,0.0,965.6,,-16.1,1106.7,113.3,113.3,977.3,4259.0,1060.1,1060.1,1062.7,1060.1,1062.7,8210.6,,1776.4,799.1,130.1,674.6,2385.5,0.0,2385.5,0.0,79.6,0.0,643.5,10.3,-2890.4,0.0,661.6,661.6,661.6,2402.8,342.5,8.9,151.3,11146.9,6483.7,2.8,36.8,2.6,60.5,54.1,47.8,44.7,40.6,247.7,256.1,1060.1,1060.1,-40.3,-40.3,1190.1,1797.2,1690.0,1817.3,37.65,37.37,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,1484.8,,,3871.1,3448.5,3871.1,230.7,,,,,2856.5,-1.9,-147.1,,17.3,910.0,-1.1,910.0,2859.5,22831.7,,22831.7,4626.4,0.0,-32.4,,,,,,-2.5,1136.2,34.7,,4629.2,47.3,8.9,3.7,0.0,0.0,0.0,379.0,191.0,0.0,43.1,38.2,1.1,43.1,191.0,3.8,266.2,1.2,-191.0,249.9,440.9,43.0,369.1,111.6,422.1,0.2,0.3,,0.1,0.0,0.0,0.0,0.0,,,,1130.5,,162.2,132.5,21014.4,0.0,19.7,0.0,0.0,56.6,2441.7,1023128.0,441110.0,5500.0,92371132.0,1.36,1.36,296.95,417.98,274.03,92371132.0,1.36,1.36,8760.025,296.95,417.98,274.03,1.0
FTNT,65.4,65.4,-4.8,65.4,31.7,52.1,3600.6,18.5,775.3,0.0,0.0,352.0,1397.1,507.5,352.0,148.4,80.8,,74.9,,,,441.3,5919.1,,4.8253,1254.2,295.9,295.9,781.7,781.7,593.0,1319.1,2551.7,257.3,600.2,606.7,-3.8,0.0,-1.1,0.0,601.3,,,,,698.6,167.1,162.0,162.0,163.2,0.043,0.2,0.001,423.3,,26.3,0.0,0.0,0.0,500.0,,,606.8,26.3,,989.4,40.5,0.0,19.5,1028.9,,988.4,84.4,211.7,260.3,211.7,1777.4,1675.5,1055.2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,651.4,735.8,10.195,3.63,3.63,3.72,3.72,-7.6,-0.1,416.2,19.9,,105.2,,204.5,-8.2,-3.4,82.8,222.7,222.7,125.1,2643.6,606.8,606.8,606.7,606.8,606.7,1827.3,4.5,188.7,63.6,,-19.4,125.8,40.2,175.8,9.8,0.4,160.0,441.8,2468.0,-1325.1,1232.6,2143.4,1777.4,0.0,2318.1,1765.7,0.0,90.2,5919.1,5120.7,16.7,16.7,-0.1,27.3,20.5,14.0,5.1,1.6,68.5,0.4,606.8,606.8,-10.1,-14.6,0.0,1499.7,651.4,735.8,3.75,3.66,0.1,1.7,0.5,60.76,0.6,4.4,2.7,2.7,67.53,122.65,55.07,92.87,186.28,58.53,0.5,39.1,620.8,567.7,60.7,964.4,752.7,964.4,909.7,,,,,-472.7,0.0,-72.5,0.0,2.4,807.7,-2.8,807.7,-467.9,3342.2,,3342.2,781.7,1555.8,-5.6,,,,,0.0,0.0,26.0,211.2,165.8,798.4,1838.4,0.0,99.2,0.0,0.0,0.0,106.5,8.0,342.3,-94.0,-90.2,-1.1,-92.4,8.0,-1.1,80.7,23.3,334.3,459.3,125.0,0.0,127.4,2.5,14.1,77.3,73.3,-18.5,7.6,0.7,8.7,0.0,19.6,65.5,13.3,,1282.5,366.0,,14.9,2606.4,,10.0,424.2,341.4,33.3,1907.8,1262039.0,334118.0,3577.0,273974567.0,0.0,0.0,359.4,371.77,137.31,273974567.0,0.0,0.0,58222.8,359.4,371.77,137.31,5.0
AVNT,122.4,122.4,-45.6,122.4,,,1827.0,57.5,208.4,-2.2,5.2,208.4,31.7,156.0,208.4,553.9,,-5.785,47.6,-0.06,-0.06,-8.9,0.0,4997.2,,19.3745,1511.8,100.6,100.6,1774.7,1774.7,-436.9,601.2,601.2,-48.3,158.6,230.6,-75.2,3.2,-0.2,0.0,158.8,,,,,3543.2,92.1,122.2,91.6,91.4,1.543,1.2,0.01,,0.0,32.8,608.6,8.6,658.7,6.9,0.0,3.1,230.8,32.8,,0.0,691.4,605.3,18.5,1900.4,605.3,1241.8,142.4,738.3,145.9,738.3,0.0,0.0,1933.2,,,,,0.0,77.7,80.2,80.2,608.6,8.6,658.7,6.9,429.0,571.4,8.7,2.51,2.51,2.53,2.53,0.0,-17.3,350.6,0.0,972.3,74.1,0.0,91.5,,-3.5,-114.6,11.2,11.2,1286.4,1275.6,230.8,230.8,230.6,230.8,230.6,3690.9,17.5,2211.6,925.2,72.6,-139.5,244.4,195.5,461.1,21.2,-2.0,0.0,0.0,0.0,-150.2,0.0,297.1,62.4,62.4,940.6,265.1,3.1,265.1,4997.2,3206.7,15.8,15.8,-0.2,26.3,19.8,12.6,7.7,4.6,71.0,10.3,230.8,230.8,25.6,8.1,0.0,233.8,429.0,571.4,3.07,3.05,0.0,0.9,1.2,11.72,0.5,6.9,2.6,1.9,32.43,,30.0,35.64,42.27,33.86,1.19,34.0,304.6,74.2,230.4,1488.5,750.2,1488.5,14.9,-13.325,-0.14,-0.15,-20.5,1162.4,3.0,-143.1,0.0,,642.3,-48.6,642.3,1208.0,4818.8,,4818.8,1774.7,0.0,-57.2,-0.2,-0.2,-18.07,-27.8,0.0,0.0,0.0,11.2,,1790.5,31.7,3.1,213.2,900.7,900.7,30.6,,100.6,73.5,-27.3,,4.2,-27.3,100.6,,,52.3,-27.1,182.1,209.2,56.8,89.5,,74.0,9.5,20.1,-0.7,6.2,0.0,0.2,0.1,1.5,10.9,1.2,,886.4,234.7,,92.8,4247.4,0.0,14.0,83.2,59.8,34.4,704.2,1122976.0,325211.0,2821.0,108104207.0,0.85,0.875,55.95,61.46,36.685,108104207.0,0.85,0.875,5125.02,55.95,61.46,36.685,4.0
FLO,36.552,23.976,2.587,23.976,,,746.118,30.857,17.847,6.043,-3.456,15.058,0.0,-13.64,15.058,268.5,,-2.55,0.0,-0.01,-0.01,-3.4,3.955,3253.313,,6.676,678.414,200.653,200.653,1411.274,1411.274,170.598,185.871,187.91,-121.605,202.35,206.187,0.0,-7.029,0.0,3.192,202.35,1.828,0.101,0.0,0.0,2175.249,213.033,228.73,211.395,211.84,3.307,0.199,0.01,2.789,1.91,47.974,1.828,0.101,0.0,400.0,3.955,0.22,206.187,65.135,0.261,497.57,250.638,0.0,581.173,1143.157,1.91,890.609,136.557,1393.664,136.559,1393.664,4.04,15.676,1191.131,-12.112,-0.06,-0.06,-16.149,0.0,175.903,175.669,175.669,0.0,0.0,0.0,400.0,323.009,459.566,8.9,0.97,0.97,0.97,0.97,0.0,0.0,550.947,87.367,1441.349,292.489,0.0,112.729,,-6.022,-274.777,29.094,29.094,545.244,2155.518,206.187,206.187,206.187,206.187,206.187,2554.431,23.533,1240.676,695.432,52.62,-9.767,55.942,147.517,203.459,0.0,-13.641,0.0,157.455,12.135,-191.438,2.039,162.371,45.608,41.568,519.917,45.208,0.0,29.532,3253.313,1842.039,0.0,0.0,0.0,56.925,53.9,45.269,42.386,28.591,227.071,127.734,206.187,206.187,24.391,0.858,17.161,344.61,323.009,459.566,1.15,1.14,,,,,,,,,,,,,,,,,270.772,,,2484.881,1091.217,2484.881,9.51,,,,,964.965,2.587,-10.6,29.093,15.398,318.197,0.0,276.103,962.378,4330.767,2.039,4330.767,1411.274,31.996,-45.094,-0.02,-0.02,-4.976,-7.656,2.995,0.0,0.0,21.343,,1411.274,3.955,0.22,,232.304,232.304,17.335,57.808,133.757,0.0,6.777,6.946,0.0,6.777,133.757,-0.169,46.018,0.0,-133.757,134.423,268.18,23.911,69.401,11.79,64.585,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.201,116.763,77.7,31.534,3871.201,12.576,30.145,5.6,4.0,99.122,1695.952,1128928.0,311812.0,2050.0,297110434.0,0.83,0.83,27.47,27.72,21.66,297110434.0,0.83,0.83,5807.0207,27.47,27.72,21.66,4.0
