cik,tic,Year,cluster_10,cluster_100
850460,WIRE,2021,2,31
352541,LNT,2021,6,9
1704715,AMR,2021,4,77
1575515,SFM,2021,3,99
1125376,ENSG,2021,7,54
1674335,JELD,2021,2,44
1023128,LAD,2021,9,12
1262039,FTNT,2021,8,29
1122976,AVNT,2021,2,35
1128928,FLO,2021,3,22
58492,LEG,2021,9,7
40533,GD,2021,9,72
1370946,OC,2021,2,44
1469367,RUN,2021,6,68
858655,HAYN,2021,9,2
1486159,CHRD,2021,4,26
70145,NFG,2021,6,9
77476,PEP,2021,3,61
1593034,ENDPQ,2021,5,43
1140536,WTW,2021,1,56
1353283,SPLK,2021,8,57
912728,FWRD,2021,4,62
73309,NUE,2021,2,34
1754301,FOXA,2021,0,32
882796,BCRX,2021,5,25
1309402,GPRE,2021,4,24
1524358,VAC,2021,0,80
80424,PG,2021,3,35
1551182,ETN,2021,9,69
1283699,TMUS,2021,8,40
1158172,SCOR,2021,0,41
8947,AZZ,2021,2,31
804328,QCOM,2021,8,29
1120370,BWEN,2021,9,31
1655075,AFIIQ,2021,2,7
1361658,TNL,2021,0,80
40987,GPC,2021,9,93
1320414,SEM,2021,5,1
1584509,ARMK,2021,3,28
1466301,CLVSQ,2021,5,25
1552033,TRU,2021,1,89
1281761,RF,2021,1,37
93410,CVX,2021,4,26
76282,PKOH,2021,9,2
19584,CHE,2021,5,86
723531,PAYX,2021,8,49
1530804,TROX,2021,2,13
101984,UEIC,2021,8,29
910329,MED,2021,5,99
5513,UNM,2021,1,36
31462,ECL,2021,2,17
1338749,PCH,2021,2,97
1409171,TITN,2021,9,79
821026,ANDE,2021,2,24
817720,SYNA,2021,8,29
5272,AIG,2021,1,56
1013871,NRG,2021,6,9
1111928,IPGP,2021,8,67
1393818,BX,2021,1,81
66382,MLKN,2021,9,7
812011,MTN,2021,0,80
730708,SBCF,2021,1,16
1672013,GOLF,2021,3,7
1109242,HAFC,2021,1,98
883945,USAK,2021,4,74
1527166,CG,2021,1,81
1421461,IPI,2021,4,13
355811,GNTX,2021,9,69
1262823,WLK,2021,2,35
26058,CTS,2021,9,69
14930,BC,2021,9,71
1637459,KHC,2021,3,88
892553,GTLS,2021,9,21
1345016,YELP,2021,0,41
844965,TTI,2021,4,50
1318220,WCN,2021,4,39
819793,AIN,2021,2,70
1175454,FLT,2021,8,64
936468,LMT,2021,8,72
29989,OMC,2021,0,19
352915,UHS,2021,5,1
98222,TDW,2021,4,50
1393066,RFP,2021,2,23
200406,JNJ,2021,5,43
890564,ASGN,2021,8,76
42888,GGG,2021,9,93
59440,VGR,2021,0,0
719955,WSM,2021,3,7
828944,WSFS,2021,1,98
102037,UVV,2021,2,94
1084869,FLWS,2021,3,22
1481792,QUAD,2021,8,19
3453,MATX,2021,4,74
1747079,BALY,2021,0,55
87347,SLB,2021,4,50
896159,CB,2021,1,56
1104657,MTRN,2021,2,13
47111,HSY,2021,3,88
1549922,SMLP,2021,4,66
25232,CUZ,2021,7,97
1323885,ATRC,2021,5,8
1808997,AOUT,2021,3,75
27419,TGT,2021,3,47
1401257,FET,2021,4,50
75208,OSG,2021,4,66
912093,VIAV,2021,8,67
46080,HAS,2021,3,41
1555280,ZTS,2021,5,30
1332349,BKD,2021,7,54
