cik,tic,Year,cluster_10,cluster_100
352541,LNT,2021,6,8
1704715,AMR,2021,8,16
1575515,SFM,2021,0,58
1125376,ENSG,2021,9,87
1674335,JELD,2021,4,20
1023128,LAD,2021,2,35
1262039,FTNT,2021,7,59
1122976,AVNT,2021,4,43
1128928,FLO,2021,0,58
58492,LEG,2021,4,61
1370946,OC,2021,4,20
1469367,RUN,2021,6,79
1486159,CHRD,2021,8,42
70145,NFG,2021,6,66
77476,PEP,2021,0,56
912728,FWRD,2021,8,40
73309,NUE,2021,8,45
1754301,FOXA,2021,3,68
882796,BCRX,2021,9,63
1309402,GPRE,2021,8,50
1524358,VAC,2021,2,54
80424,PG,2021,0,56
1283699,TMUS,2021,3,31
8947,AZZ,2021,1,45
804328,QCOM,2021,7,32
1120370,BWEN,2021,1,82
1655075,AFIIQ,2021,4,86
1361658,TNL,2021,2,54
40987,GPC,2021,1,17
1320414,SEM,2021,9,4
1584509,ARMK,2021,0,80
1552033,TRU,2021,3,26
1281761,RF,2021,5,7
93410,CVX,2021,8,36
76282,PKOH,2021,1,71
19584,CHE,2021,9,4
723531,PAYX,2021,3,47
101984,UEIC,2021,7,32
910329,MED,2021,9,55
5513,UNM,2021,5,26
31462,ECL,2021,4,5
1409171,TITN,2021,1,70
821026,ANDE,2021,8,50
817720,SYNA,2021,7,32
5272,AIG,2021,5,81
1013871,NRG,2021,6,78
1111928,IPGP,2021,7,32
66382,MLKN,2021,4,69
730708,SBCF,2021,5,30
1672013,GOLF,2021,0,75
1109242,HAFC,2021,5,30
355811,GNTX,2021,7,23
1262823,WLK,2021,4,43
26058,CTS,2021,7,32
14930,BC,2021,2,1
1637459,KHC,2021,0,58
892553,GTLS,2021,1,99
1345016,YELP,2021,3,65
844965,TTI,2021,8,74
819793,AIN,2021,4,14
936468,LMT,2021,7,92
29989,OMC,2021,3,52
352915,UHS,2021,9,4
98222,TDW,2021,8,74
200406,JNJ,2021,9,63
890564,ASGN,2021,3,67
42888,GGG,2021,1,17
719955,WSM,2021,0,13
828944,WSFS,2021,5,30
102037,UVV,2021,0,55
1084869,FLWS,2021,0,93
1481792,QUAD,2021,3,52
3453,MATX,2021,8,40
1747079,BALY,2021,2,39
1104657,MTRN,2021,4,43
47111,HSY,2021,0,58
1323885,ATRC,2021,9,34
1808997,AOUT,2021,0,75
27419,TGT,2021,0,73
1401257,FET,2021,1,74
912093,VIAV,2021,7,59
46080,HAS,2021,0,37
1555280,ZTS,2021,9,10
1332349,BKD,2021,9,87
930420,KFRC,2021,3,47
821189,EOG,2021,6,42
1041859,PLCE,2021,0,37
1289460,TXRH,2021,0,48
103379,VFC,2021,0,85
51143,IBM,2021,3,67
1402057,CDW,2021,3,62
60086,L,2021,8,66
737758,TTC,2021,1,38
1501585,HII,2021,1,90
1289848,HURN,2021,3,67
313616,DHR,2021,7,97
1326160,DUK,2021,6,78
932696,NSIT,2021,3,67
1300514,LVS,2021,2,60
4904,AEP,2021,6,78
1664703,BE,2021,6,79
717423,MUR,2021,8,36
73088,NWE,2021,6,8
945841,POOL,2021,1,71
1398987,HOUS,2021,2,11
1685040,BHF,2021,5,81
898173,ORLY,2021,1,23
1037646,MTD,2021,7,32
874766,HIG,2021,5,81
889900,PTEN,2021,8,74
1065696,LKQ,2021,1,23
1018963,ATI,2021,4,43
1433270,AR,2021,8,25
899051,ALL,2021,5,26
922621,ERIE,2021,5,28
880117,JBSS,2021,0,58
895447,SCVL,2021,0,49
