cik,tic,Year,cluster_10,cluster_100
352541,LNT,2021,3,3
1704715,AMR,2021,7,77
1575515,SFM,2021,8,30
1125376,ENSG,2021,6,32
1674335,JELD,2021,2,65
1023128,LAD,2021,2,35
1262039,FTNT,2021,6,73
1122976,AVNT,2021,9,89
1128928,FLO,2021,0,31
58492,LEG,2021,2,65
1370946,OC,2021,2,81
1469367,RUN,2021,6,25
1486159,CHRD,2021,3,29
70145,NFG,2021,3,3
77476,PEP,2021,0,31
912728,FWRD,2021,6,9
73309,NUE,2021,7,41
1754301,FOXA,2021,6,60
882796,BCRX,2021,4,96
1309402,GPRE,2021,7,95
1524358,VAC,2021,6,40
80424,PG,2021,0,0
1283699,TMUS,2021,6,60
8947,AZZ,2021,7,17
804328,QCOM,2021,9,66
1120370,BWEN,2021,7,17
1655075,AFIIQ,2021,2,33
1361658,TNL,2021,6,40
40987,GPC,2021,2,62
1320414,SEM,2021,6,23
1584509,ARMK,2021,6,87
1552033,TRU,2021,1,94
1281761,RF,2021,5,22
93410,CVX,2021,7,84
76282,PKOH,2021,2,38
19584,CHE,2021,6,54
723531,PAYX,2021,6,32
101984,UEIC,2021,9,66
910329,MED,2021,4,56
5513,UNM,2021,1,8
31462,ECL,2021,0,58
1409171,TITN,2021,2,16
821026,ANDE,2021,0,97
817720,SYNA,2021,9,72
5272,AIG,2021,1,8
1013871,NRG,2021,3,3
1111928,IPGP,2021,9,12
66382,MLKN,2021,2,65
730708,SBCF,2021,5,22
1672013,GOLF,2021,8,24
1109242,HAFC,2021,5,69
355811,GNTX,2021,9,2
1262823,WLK,2021,0,81
26058,CTS,2021,9,2
14930,BC,2021,2,62
1637459,KHC,2021,0,31
892553,GTLS,2021,9,26
1345016,YELP,2021,6,51
844965,TTI,2021,7,28
819793,AIN,2021,2,27
936468,LMT,2021,9,36
29989,OMC,2021,6,13
352915,UHS,2021,6,23
98222,TDW,2021,7,68
200406,JNJ,2021,4,46
890564,ASGN,2021,6,73
42888,GGG,2021,2,37
719955,WSM,2021,8,7
828944,WSFS,2021,5,69
102037,UVV,2021,0,58
