cik,tic,Year,cluster_10,cluster_100
352541,LNT,2021,6,8
1704715,AMR,2021,8,15
1575515,SFM,2021,0,0
1125376,ENSG,2021,1,32
1674335,JELD,2021,3,58
1023128,LAD,2021,2,36
1262039,FTNT,2021,9,42
1122976,AVNT,2021,8,34
1128928,FLO,2021,0,0
58492,LEG,2021,3,7
1370946,OC,2021,3,58
1469367,RUN,2021,6,82
1486159,CHRD,2021,8,62
70145,NFG,2021,6,72
77476,PEP,2021,0,41
912728,FWRD,2021,2,50
73309,NUE,2021,8,55
1754301,FOXA,2021,9,22
882796,BCRX,2021,1,23
1309402,GPRE,2021,8,96
1524358,VAC,2021,3,16
80424,PG,2021,7,18
1283699,TMUS,2021,9,52
8947,AZZ,2021,8,47
804328,QCOM,2021,9,42
1120370,BWEN,2021,6,98
1655075,AFIIQ,2021,3,7
1361658,TNL,2021,3,16
40987,GPC,2021,2,17
1320414,SEM,2021,1,49
1584509,ARMK,2021,0,12
1552033,TRU,2021,9,84
1281761,RF,2021,4,40
93410,CVX,2021,8,62
76282,PKOH,2021,2,47
19584,CHE,2021,1,49
723531,PAYX,2021,9,12
101984,UEIC,2021,9,38
910329,MED,2021,0,0
5513,UNM,2021,5,4
31462,ECL,2021,8,2
1409171,TITN,2021,2,30
821026,ANDE,2021,8,59
817720,SYNA,2021,9,38
5272,AIG,2021,5,4
1013871,NRG,2021,6,8
1111928,IPGP,2021,9,38
66382,MLKN,2021,3,87
730708,SBCF,2021,4,40
1672013,GOLF,2021,3,28
1109242,HAFC,2021,4,40
355811,GNTX,2021,2,99
1262823,WLK,2021,8,34
26058,CTS,2021,2,60
14930,BC,2021,3,28
1637459,KHC,2021,0,41
892553,GTLS,2021,8,71
1345016,YELP,2021,9,69
844965,TTI,2021,8,46
819793,AIN,2021,8,93
936468,LMT,2021,2,70
29989,OMC,2021,9,84
352915,UHS,2021,1,49
98222,TDW,2021,8,46
200406,JNJ,2021,1,14
890564,ASGN,2021,9,12
42888,GGG,2021,2,71
719955,WSM,2021,7,78
828944,WSFS,2021,4,40
102037,UVV,2021,0,59
1084869,FLWS,2021,7,78
1481792,QUAD,2021,9,56
3453,MATX,2021,2,50
1747079,BALY,2021,3,27
1104657,MTRN,2021,8,76
47111,HSY,2021,0,41
1323885,ATRC,2021,1,14
1808997,AOUT,2021,3,28
27419,TGT,2021,7,73
1401257,FET,2021,8,46
912093,VIAV,2021,9,38
