cik,tic,Year,cluster_10,cluster_100
352541,LNT,2021,6,8
1704715,AMR,2021,9,56
1575515,SFM,2021,0,58
1125376,ENSG,2021,3,4
1674335,JELD,2021,4,28
1023128,LAD,2021,2,31
1262039,FTNT,2021,3,97
1122976,AVNT,2021,8,59
1128928,FLO,2021,0,90
58492,LEG,2021,4,78
1370946,OC,2021,4,10
1469367,RUN,2021,6,79
1486159,CHRD,2021,9,37
70145,NFG,2021,6,41
77476,PEP,2021,0,29
912728,FWRD,2021,8,61
73309,NUE,2021,9,84
1754301,FOXA,2021,3,49
882796,BCRX,2021,7,11
1309402,GPRE,2021,8,96
1524358,VAC,2021,2,93
80424,PG,2021,0,12
1283699,TMUS,2021,3,13
8947,AZZ,2021,1,32
804328,QCOM,2021,7,68
1120370,BWEN,2021,4,18
1655075,AFIIQ,2021,4,52
1361658,TNL,2021,2,93
40987,GPC,2021,4,9
1320414,SEM,2021,3,4
1584509,ARMK,2021,0,0
1552033,TRU,2021,3,71
1281761,RF,2021,5,7
93410,CVX,2021,9,25
76282,PKOH,2021,4,6
19584,CHE,2021,7,42
723531,PAYX,2021,3,3
101984,UEIC,2021,7,44
910329,MED,2021,7,83
5513,UNM,2021,5,57
31462,ECL,2021,8,5
1409171,TITN,2021,4,81
821026,ANDE,2021,8,96
817720,SYNA,2021,7,68
5272,AIG,2021,5,57
1013871,NRG,2021,6,45
1111928,IPGP,2021,7,68
66382,MLKN,2021,4,52
730708,SBCF,2021,5,7
1672013,GOLF,2021,0,77
1109242,HAFC,2021,5,33
355811,GNTX,2021,4,35
1262823,WLK,2021,8,59
26058,CTS,2021,4,68
14930,BC,2021,2,1
1637459,KHC,2021,0,58
892553,GTLS,2021,1,35
1345016,YELP,2021,3,87
844965,TTI,2021,9,89
819793,AIN,2021,4,65
936468,LMT,2021,4,64
29989,OMC,2021,3,19
352915,UHS,2021,3,4
98222,TDW,2021,9,89
200406,JNJ,2021,7,47
890564,ASGN,2021,3,39
42888,GGG,2021,4,9
719955,WSM,2021,0,30
828944,WSFS,2021,5,7
102037,UVV,2021,8,12
1084869,FLWS,2021,0,90
1481792,QUAD,2021,3,19
3453,MATX,2021,8,61
1747079,BALY,2021,2,69
1104657,MTRN,2021,4,22
47111,HSY,2021,0,58
1323885,ATRC,2021,7,73
1808997,AOUT,2021,4,70
27419,TGT,2021,0,50
1401257,FET,2021,9,89
912093,VIAV,2021,7,86
46080,HAS,2021,0,62
1555280,ZTS,2021,7,47
1332349,BKD,2021,3,42
930420,KFRC,2021,3,39
821189,EOG,2021,9,37
1041859,PLCE,2021,0,62
1289460,TXRH,2021,0,98
103379,VFC,2021,0,70
51143,IBM,2021,3,21
1402057,CDW,2021,3,21
60086,L,2021,2,41
737758,TTC,2021,1,81
1501585,HII,2021,4,32
1289848,HURN,2021,3,97
313616,DHR,2021,7,12
1326160,DUK,2021,6,45
932696,NSIT,2021,3,21
1300514,LVS,2021,2,17
4904,AEP,2021,6,45
1664703,BE,2021,6,79
717423,MUR,2021,9,37
73088,NWE,2021,6,8
945841,POOL,2021,1,18
1398987,HOUS,2021,2,14
1685040,BHF,2021,5,57
898173,ORLY,2021,4,9
1037646,MTD,2021,7,99
874766,HIG,2021,5,57
889900,PTEN,2021,9,37
1065696,LKQ,2021,4,31
1018963,ATI,2021,4,22
1433270,AR,2021,9,37
899051,ALL,2021,5,43
922621,ERIE,2021,5,43
880117,JBSS,2021,0,58
895447,SCVL,2021,0,34
39899,TGNA,2021,3,49
26172,CMI,2021,1,81
1341439,ORCL,2021,3,21
1171759,RRGB,2021,0,98
764065,CLF,2021,9,84
1709164,HBB,2021,0,12
931015,PII,2021,2,1
1486957,BWXT,2021,1,18
837465,MODG,2021,0,77
1434588,LOPE,2021,3,92
771266,KOPN,2021,7,68
9092,BMI,2021,1,63
51253,IFF,2021,8,12
89089,SCI,2021,3,4
102729,VMI,2021,1,18
1067294,CBRL,2021,0,54
1528356,GNE,2021,6,45
21344,KO,2021,0,29
72971,WFC,2021,5,33
885725,BSX,2021,7,80
20212,CHDN,2021,2,69
815556,FAST,2021,4,9
6176,AP,2021,1,22
898293,JBL,2021,4,68
1065837,SKX,2021,0,34
1413898,DALN,2021,3,49
1111711,NI,2021,6,45
899751,TWI,2021,4,81
1368265,CLNE,2021,9,41
1227654,CMP,2021,8,46
1674862,ASH,2021,8,59
1319947,DBI,2021,0,34
1306830,CE,2021,8,85
99780,TRN,2021,8,94
1590714,ESI,2021,8,85
1021635,OGE,2021,6,41
105418,WMK,2021,0,90
840489,FCFS,2021,0,71
310764,SYK,2021,7,80
1113809,BBW,2021,0,62
743238,SHYF,2021,4,6
56873,KR,2021,0,50
78128,WTRG,2021,6,63
897723,SANM,2021,7,68
27996,DLX,2021,3,3
1519751,FBIN,2021,4,52
9984,B,2021,4,94
711377,NEOG,2021,7,47
103730,VSH,2021,7,68
318154,AMGN,2021,7,11
1739104,ELAN,2021,7,47
20286,CINF,2021,5,43
69488,MYE,2021,4,9
1739445,ACA,2021,9,26
1745916,PFSI,2021,5,20
1123360,GPN,2021,3,3
1020569,IRM,2021,3,21
700564,FULT,2021,5,33
823768,WM,2021,9,5
1086600,ARLP,2021,9,56
32604,EMR,2021,1,35
1289308,ENS,2021,1,35
1289419,MORN,2021,3,16
861459,GVA,2021,9,26
860413,FIBK,2021,5,33
9389,BALL,2021,8,55
889331,LFUS,2021,1,88
313927,CHD,2021,0,12
68505,MSI,2021,3,86
1722482,AVTR,2021,7,97
1362468,ALGT,2021,2,27
1020710,DXPE,2021,1,35
19617,JPM,2021,5,33
1633917,PYPL,2021,3,3
1389170,TRGP,2021,9,41
1617406,PK,2021,2,24
1638833,SGRY,2021,3,4
1002047,NTAP,2021,3,21
89800,SHW,2021,4,52
923120,GBX,2021,8,94
7431,AWI,2021,4,10
906163,NVR,2021,2,91
1288847,FIVN,2021,3,21
878927,ODFL,2021,8,61
1400891,IHRT,2021,3,49
832428,SSP,2021,3,49
1237831,GMED,2021,7,80
746515,EXPD,2021,8,61
1587523,KN,2021,7,44
1529864,ENVA,2021,5,71
1499832,TSQ,2021,3,49
1722684,WH,2021,2,24
1579298,BURL,2021,0,62
1096343,MKL,2021,5,57
811596,KALU,2021,4,22
1692819,VST,2021,6,45
1290900,CVGI,2021,4,51
1409970,LC,2021,5,20
1551152,ABBV,2021,7,11
1739940,CI,2021,3,66
943819,RMD,2021,7,2
799233,HTLD,2021,8,61
1267238,AIZ,2021,5,57
1590976,MBUU,2021,2,1
320193,AAPL,2021,3,68
1057877,IDA,2021,6,8
812074,OI,2021,8,55
891532,PESI,2021,9,5
97216,TEX,2021,4,26
318833,TISI,2021,1,32
1070985,CXW,2021,3,4
40704,GIS,2021,0,90
33488,ESCA,2021,4,38
855658,LSCC,2021,7,68
726601,CCBG,2021,5,33
1054905,IOSP,2021,8,59
1509589,CIVI,2021,9,37
1046311,CHH,2021,2,24
1126328,PFG,2021,5,57
1258602,NNI,2021,5,20
1043509,SAH,2021,2,31
100885,UNP,2021,8,36
746598,BRC,2021,4,9
1690820,CVNA,2021,2,31
350698,AN,2021,2,31
5981,AVD,2021,8,67
357173,OSBC,2021,5,33
4281,HWM,2021,4,22
7084,ADM,2021,8,96
1592000,ENLC,2021,9,41
1304421,CNSL,2021,3,86
943452,WAB,2021,1,94
764478,BBY,2021,0,30
714395,GABC,2021,5,33
28412,CMA,2021,5,33
95029,RGR,2021,4,38
8818,AVY,2021,8,85
1070412,CNX,2021,9,41
98362,TKR,2021,4,9
793952,HOG,2021,2,1
26780,DAN,2021,4,51
33185,EFX,2021,3,71
1318605,TSLA,2021,2,79
1472787,FAF,2021,5,14
354647,CVBF,2021,5,33
94049,SCL,2021,8,85
810332,MESA,2021,2,27
1396814,PCRX,2021,7,67
55135,KELYA,2021,3,39
820027,AMP,2021,5,16
920371,SSD,2021,4,10
1335258,LYV,2021,3,76
1002910,AEE,2021,6,8
1015328,WTFC,2021,5,16
857005,PTC,2021,4,21
49826,ITW,2021,4,10
1156388,BGFV,2021,0,70
730263,THO,2021,2,48
9326,BCPC,2021,8,59
1035983,FIX,2021,1,32
35527,FITB,2021,5,33
104918,AVA,2021,6,8
811156,CMS,2021,6,8
1374310,CBOE,2021,3,72
64803,CVS,2021,3,66
91767,SON,2021,8,55
723603,CULP,2021,4,78
1042046,AFG,2021,5,43
1039684,OKE,2021,9,41
866273,MTRX,2021,9,32
851968,MHK,2021,4,52
1545654,ALEX,2021,2,82
1410636,AWK,2021,6,74
1064728,BTU,2021,9,56
72741,ES,2021,6,45
1005757,CSGS,2021,3,86
1043337,SRI,2021,4,51
1177394,SNX,2021,3,21
902791,BBSI,2021,3,15
1573516,MUSA,2021,0,30
37808,FNB,2021,5,7
1420800,ENOV,2021,7,35
1032033,SLM,2021,5,20
12927,BA,2021,4,23
106640,WHR,2021,1,12
316709,SCHW,2021,5,16
922224,PPL,2021,6,45
106040,WDC,2021,7,68
1297184,AMPH,2021,7,67
886346,KAI,2021,4,85
75252,OMI,2021,7,2
59478,LLY,2021,7,47
1069258,KTOS,2021,4,64
230557,SIGI,2021,5,43
55785,KMB,2021,0,12
24741,GLW,2021,7,85
814585,MBI,2021,5,57
16040,CBT,2021,8,59
1514705,SXC,2021,9,56
1488813,CUBI,2021,5,7
785161,EHC,2021,3,42
1336917,UAA,2021,0,70
1636222,WING,2021,0,75
1408075,GPK,2021,8,65
1124804,MDRX,2021,3,66
1783180,CARR,2021,1,60
1403568,ULTA,2021,0,50
818479,XRAY,2021,7,80
750004,LNW,2021,3,69
1001250,EL,2021,0,12
1156375,CME,2021,3,72
46195,BOH,2021,5,82
875045,BIIB,2021,7,11
7536,ARW,2021,4,21
275053,NATR,2021,0,83
1219601,CCK,2021,8,55
1163302,X,2021,9,84
879526,WNC,2021,8,61
277135,GWW,2021,1,9
1145986,ASPN,2021,1,35
1130310,CNP,2021,6,45
917470,ZEUS,2021,4,84
51644,IPG,2021,3,19
1047862,ED,2021,6,45
1230245,PIPR,2021,5,16
37785,FMC,2021,8,85
1320854,RAIL,2021,4,94
1673985,ASIX,2021,8,59
1590895,CZR,2021,2,69
1618673,PFGC,2021,0,0
1071739,CNC,2021,3,66
107263,WMB,2021,9,41
871763,MAN,2021,3,39
766829,SJW,2021,6,74
1144215,AYI,2021,1,88
1164727,NEM,2021,9,84
310158,MRK,2021,7,47
940942,HUBG,2021,8,61
1592386,VIRT,2021,3,72
912463,GES,2021,0,2
875357,BOKF,2021,5,7
1018724,AMZN,2021,0,30
912767,UFPI,2021,4,28
1708055,RBBN,2021,3,86
352825,FSTR,2021,4,94
104169,WMT,2021,0,30
1021162,TGI,2021,4,23
91419,SJM,2021,0,90
1564708,NWSA,2021,3,49
66570,MSA,2021,1,2
896156,ETD,2021,2,78
1164863,NPO,2021,1,35
1037868,AME,2021,4,35
1053352,HTBK,2021,5,7
745308,JOE,2021,2,14
1041803,PSMT,2021,0,30
1403161,V,2021,3,3
1677703,CNDT,2021,3,66
764401,IIIN,2021,4,84
945114,GIC,2021,4,9
1561680,TPH,2021,2,91
1276187,ET,2021,9,41
1174922,WYNN,2021,2,17
1576940,CCS,2021,2,91
102212,UVSP,2021,5,33
90498,SFNC,2021,5,7
916365,TSCO,2021,0,50
1274494,FSLR,2021,7,79
1012019,RUSHA,2021,2,6
913760,SNEX,2021,5,16
842633,TRS,2021,4,10
88205,SPXC,2021,1,35
48898,HUBB,2021,1,88
37996,F,2021,2,31
1402829,ORN,2021,9,32
910521,DECK,2021,0,34
898437,ANIK,2021,7,80
927653,MCK,2021,7,66
882835,ROP,2021,7,97
1466026,MSBI,2021,5,33
1060822,CRI,2021,0,62
43920,GEF,2021,8,65
1633931,BLD,2021,1,10
1032208,SRE,2021,6,45
1467858,GM,2021,2,31
929008,WCC,2021,1,88
1437107,WBD,2021,3,40
74303,OLN,2021,8,59
1320695,THS,2021,0,58
29644,DCI,2021,1,6
1047335,NHC,2021,3,4
1326801,META,2021,3,95
88948,SENEA,2021,0,58
62996,MAS,2021,1,52
1138118,CBRE,2021,3,14
1601548,VVX,2021,3,64
1090727,UPS,2021,8,61
1069899,PAHC,2021,7,47
916076,MLM,2021,9,46
1133421,NOC,2021,4,64
882095,GILD,2021,7,11
861884,RS,2021,4,22
917520,IART,2021,7,80
883984,ICUI,2021,7,80
100493,TSN,2021,0,58
1031203,GPI,2021,2,31
1050797,COLM,2021,0,70
1455684,TPIC,2021,4,10
918541,NNBR,2021,4,22
906553,BYD,2021,2,69
1362004,ICFI,2021,3,32
88941,SMTC,2021,3,68
1584207,OMF,2021,5,71
745732,ROST,2021,0,50
753308,NEE,2021,6,45
702165,NSC,2021,8,36
103145,VECO,2021,7,68
61986,MTW,2021,4,26
1057706,FBP,2021,5,33
915779,DAKT,2021,4,68
58361,LEE,2021,3,49
79282,BRO,2021,5,15
1031296,FE,2021,6,8
1669779,CWH,2021,2,48
77543,TPC,2021,4,26
