cik,tic,Year,cluster_10,cluster_100
850460,WIRE,2021,9,54
352541,LNT,2021,6,3
1704715,AMR,2021,2,60
1575515,SFM,2021,0,35
1125376,ENSG,2021,7,42
1674335,JELD,2021,9,82
1023128,LAD,2021,9,70
1262039,FTNT,2021,8,27
1122976,AVNT,2021,9,9
1128928,FLO,2021,0,28
58492,LEG,2021,9,82
40533,GD,2021,9,54
1370946,OC,2021,9,9
1469367,RUN,2021,7,49
858655,HAYN,2021,9,41
1486159,CHRD,2021,2,56
70145,NFG,2021,6,37
77476,PEP,2021,0,28
1593034,ENDPQ,2021,5,65
1140536,WTW,2021,7,98
1353283,SPLK,2021,7,32
912728,FWRD,2021,9,24
73309,NUE,2021,4,58
1754301,FOXA,2021,7,49
882796,BCRX,2021,5,94
1309402,GPRE,2021,2,64
1524358,VAC,2021,1,52
80424,PG,2021,9,19
1551182,ETN,2021,9,86
1283699,TMUS,2021,7,17
1158172,SCOR,2021,7,32
8947,AZZ,2021,4,1
804328,QCOM,2021,8,27
1120370,BWEN,2021,4,1
1655075,AFIIQ,2021,9,93
1361658,TNL,2021,1,52
40987,GPC,2021,9,18
1320414,SEM,2021,7,42
1584509,ARMK,2021,0,0
1466301,CLVSQ,2021,5,65
1552033,TRU,2021,7,57
1281761,RF,2021,3,31
93410,CVX,2021,2,8
76282,PKOH,2021,9,41
19584,CHE,2021,9,21
723531,PAYX,2021,7,98
1530804,TROX,2021,9,80
101984,UEIC,2021,8,7
910329,MED,2021,5,21
5513,UNM,2021,7,30
31462,ECL,2021,9,93
1338749,PCH,2021,9,38
1409171,TITN,2021,9,34
821026,ANDE,2021,9,64
817720,SYNA,2021,8,73
5272,AIG,2021,7,30
1013871,NRG,2021,6,25
1111928,IPGP,2021,8,76
1393818,BX,2021,7,14
66382,MLKN,2021,9,15
812011,MTN,2021,1,91
730708,SBCF,2021,3,11
1672013,GOLF,2021,9,0
1109242,HAFC,2021,3,55
883945,USAK,2021,9,50
1527166,CG,2021,7,14
1421461,IPI,2021,4,64
355811,GNTX,2021,8,33
1262823,WLK,2021,4,64
26058,CTS,2021,8,20
14930,BC,2021,9,18
1637459,KHC,2021,0,28
892553,GTLS,2021,4,1
1345016,YELP,2021,7,13
844965,TTI,2021,4,75
1318220,WCN,2021,2,53
819793,AIN,2021,9,9
1175454,FLT,2021,7,98
936468,LMT,2021,8,7
29989,OMC,2021,7,49
352915,UHS,2021,7,42
98222,TDW,2021,4,29
1393066,RFP,2021,9,39
200406,JNJ,2021,5,85
890564,ASGN,2021,7,90
42888,GGG,2021,9,41
59440,VGR,2021,9,93
719955,WSM,2021,0,5
828944,WSFS,2021,3,11
102037,UVV,2021,9,19
1084869,FLWS,2021,0,62
1481792,QUAD,2021,9,40
3453,MATX,2021,9,24
1747079,BALY,2021,1,52
87347,SLB,2021,4,99
896159,CB,2021,7,47
1104657,MTRN,2021,9,80
47111,HSY,2021,0,28
1549922,SMLP,2021,2,8
25232,CUZ,2021,1,74
1323885,ATRC,2021,5,51
1808997,AOUT,2021,9,93
27419,TGT,2021,0,69
1401257,FET,2021,4,75
75208,OSG,2021,4,53
912093,VIAV,2021,8,27
46080,HAS,2021,0,0
1555280,ZTS,2021,5,65
1332349,BKD,2021,1,10
930420,KFRC,2021,7,98
1025378,WPC,2021,1,87
821189,EOG,2021,6,37
1041859,PLCE,2021,0,69
1415404,SATS,2021,8,90
1289460,TXRH,2021,0,48
103379,VFC,2021,0,62
51143,IBM,2021,8,90
1402057,CDW,2021,8,90
60086,L,2021,7,26
737758,TTC,2021,9,18
1501585,HII,2021,9,18
1289848,HURN,2021,7,98
313616,DHR,2021,9,78
1326160,DUK,2021,6,3
808326,EMKR,2021,8,73
932696,NSIT,2021,8,27
879101,KIM,2021,1,16
1300514,LVS,2021,1,52
4904,AEP,2021,2,72
1664703,BE,2021,4,29
717423,MUR,2021,2,8
73088,NWE,2021,6,46
945841,POOL,2021,9,93
1398987,HOUS,2021,1,10
1685040,BHF,2021,3,30
898173,ORLY,2021,9,34
1037646,MTD,2021,8,76
1579241,ALLE,2021,9,54
1466258,TT,2021,9,18
874766,HIG,2021,7,30
1712923,GSKY,2021,7,6
1462418,ASPS,2021,7,6
889900,PTEN,2021,2,29
1065696,LKQ,2021,9,34
1018963,ATI,2021,9,78
1433270,AR,2021,2,77
899051,ALL,2021,7,47
922621,ERIE,2021,7,47
880117,JBSS,2021,0,19
895447,SCVL,2021,0,5
910612,CBL,2021,1,16
920148,LH,2021,5,88
