cik,tic,Year,cluster_10,cluster_100
352541,LNT,2021,6,90
1704715,AMR,2021,6,68
1575515,SFM,2021,0,28
1125376,ENSG,2021,3,17
1674335,JELD,2021,1,35
1023128,LAD,2021,4,57
1262039,FTNT,2021,9,10
1122976,AVNT,2021,1,1
1128928,FLO,2021,0,28
58492,LEG,2021,1,35
1370946,OC,2021,1,71
1469367,RUN,2021,6,64
1486159,CHRD,2021,6,94
70145,NFG,2021,6,54
77476,PEP,2021,0,73
912728,FWRD,2021,4,29
73309,NUE,2021,1,30
1754301,FOXA,2021,5,7
882796,BCRX,2021,7,4
1309402,GPRE,2021,6,75
1524358,VAC,2021,5,33
80424,PG,2021,8,73
1283699,TMUS,2021,5,52
8947,AZZ,2021,1,72
804328,QCOM,2021,9,10
1120370,BWEN,2021,6,93
1655075,AFIIQ,2021,1,8
1361658,TNL,2021,5,33
40987,GPC,2021,4,56
1320414,SEM,2021,3,17
1584509,ARMK,2021,0,58
1552033,TRU,2021,2,40
1281761,RF,2021,2,95
93410,CVX,2021,6,31
76282,PKOH,2021,4,96
19584,CHE,2021,3,17
723531,PAYX,2021,3,60
101984,UEIC,2021,9,10
910329,MED,2021,7,79
5513,UNM,2021,2,89
31462,ECL,2021,1,58
1409171,TITN,2021,4,38
821026,ANDE,2021,1,75
817720,SYNA,2021,9,36
5272,AIG,2021,2,50
1013871,NRG,2021,6,69
1111928,IPGP,2021,9,11
66382,MLKN,2021,4,80
730708,SBCF,2021,2,18
1672013,GOLF,2021,8,26
1109242,HAFC,2021,2,51
355811,GNTX,2021,9,88
1262823,WLK,2021,1,1
26058,CTS,2021,9,66
14930,BC,2021,4,34
1637459,KHC,2021,0,28
892553,GTLS,2021,1,22
1345016,YELP,2021,5,65
844965,TTI,2021,6,77
819793,AIN,2021,1,72
936468,LMT,2021,9,61
29989,OMC,2021,5,7
352915,UHS,2021,3,17
98222,TDW,2021,6,77
200406,JNJ,2021,7,59
890564,ASGN,2021,3,63
42888,GGG,2021,4,22
719955,WSM,2021,8,42
828944,WSFS,2021,2,51
102037,UVV,2021,0,87
1084869,FLWS,2021,0,42
1481792,QUAD,2021,9,40
3453,MATX,2021,4,29
1747079,BALY,2021,5,62
1104657,MTRN,2021,1,72
47111,HSY,2021,0,28
1323885,ATRC,2021,7,27
1808997,AOUT,2021,8,34
27419,TGT,2021,8,42
1401257,FET,2021,6,77
912093,VIAV,2021,9,10
46080,HAS,2021,8,74
1555280,ZTS,2021,7,79
1332349,BKD,2021,3,17
930420,KFRC,2021,3,60
821189,EOG,2021,6,94
1041859,PLCE,2021,8,48
1289460,TXRH,2021,0,41
103379,VFC,2021,8,26
51143,IBM,2021,9,20
1402057,CDW,2021,9,20
60086,L,2021,5,31
737758,TTC,2021,4,38
1501585,HII,2021,4,93
1289848,HURN,2021,3,60
313616,DHR,2021,9,70
1326160,DUK,2021,6,69
932696,NSIT,2021,9,63
1300514,LVS,2021,5,62
4904,AEP,2021,6,21
1664703,BE,2021,6,21
717423,MUR,2021,6,31
73088,NWE,2021,6,5
945841,POOL,2021,1,58
1398987,HOUS,2021,5,14
1685040,BHF,2021,2,89
898173,ORLY,2021,4,56
1037646,MTD,2021,9,70
874766,HIG,2021,2,9
889900,PTEN,2021,6,77
1065696,LKQ,2021,4,56
1018963,ATI,2021,1,72
1433270,AR,2021,6,54
899051,ALL,2021,2,32
922621,ERIE,2021,2,89
880117,JBSS,2021,0,28
895447,SCVL,2021,8,48
39899,TGNA,2021,5,7
26172,CMI,2021,4,24
1341439,ORCL,2021,9,63
1171759,RRGB,2021,0,41
764065,CLF,2021,1,30
1709164,HBB,2021,0,80
931015,PII,2021,4,84
1486957,BWXT,2021,6,93
837465,MODG,2021,8,34
1434588,LOPE,2021,5,49
771266,KOPN,2021,9,36
9092,BMI,2021,9,67
51253,IFF,2021,0,75
89089,SCI,2021,3,58
102729,VMI,2021,1,67
1067294,CBRL,2021,8,41
1528356,GNE,2021,6,21
21344,KO,2021,0,73
72971,WFC,2021,2,51
885725,BSX,2021,7,85
20212,CHDN,2021,5,37
815556,FAST,2021,4,86
6176,AP,2021,1,78
898293,JBL,2021,9,36
1065837,SKX,2021,8,26
1413898,DALN,2021,5,7
1111711,NI,2021,6,69
899751,TWI,2021,4,38
1368265,CLNE,2021,6,64
1227654,CMP,2021,1,75
1674862,ASH,2021,1,1
1319947,DBI,2021,8,48
1306830,CE,2021,1,1
99780,TRN,2021,4,96
1590714,ESI,2021,1,55
1021635,OGE,2021,6,5
105418,WMK,2021,0,28
840489,FCFS,2021,2,6
310764,SYK,2021,7,85
1113809,BBW,2021,8,26
743238,SHYF,2021,4,84
56873,KR,2021,0,42
78128,WTRG,2021,6,97
897723,SANM,2021,9,36
27996,DLX,2021,9,40
1519751,FBIN,2021,8,80
9984,B,2021,4,96
711377,NEOG,2021,7,79
103730,VSH,2021,9,36
318154,AMGN,2021,7,99
1739104,ELAN,2021,7,79
20286,CINF,2021,2,9
69488,MYE,2021,4,86
1739445,ACA,2021,1,96
1745916,PFSI,2021,2,51
1123360,GPN,2021,9,40
1020569,IRM,2021,9,86
700564,FULT,2021,2,95
823768,WM,2021,6,97
1086600,ARLP,2021,6,68
32604,EMR,2021,9,22
1289308,ENS,2021,4,22
1289419,MORN,2021,2,45
861459,GVA,2021,1,16
860413,FIBK,2021,2,25
9389,BALL,2021,1,23
889331,LFUS,2021,9,88
313927,CHD,2021,0,58
68505,MSI,2021,9,66
1722482,AVTR,2021,7,27
1362468,ALGT,2021,5,39
1020710,DXPE,2021,4,22
19617,JPM,2021,2,2
1633917,PYPL,2021,5,40
1389170,TRGP,2021,6,31
1617406,PK,2021,5,33
1638833,SGRY,2021,3,17
1002047,NTAP,2021,9,63
89800,SHW,2021,1,35
923120,GBX,2021,4,96
7431,AWI,2021,1,8
906163,NVR,2021,5,47
1288847,FIVN,2021,9,92
878927,ODFL,2021,4,29
1400891,IHRT,2021,5,7
832428,SSP,2021,5,7
1237831,GMED,2021,7,85
746515,EXPD,2021,4,29
1587523,KN,2021,9,36
1529864,ENVA,2021,2,91
1499832,TSQ,2021,5,7
1722684,WH,2021,5,33
1579298,BURL,2021,8,48
1096343,MKL,2021,2,89
811596,KALU,2021,1,72
1692819,VST,2021,6,69
1290900,CVGI,2021,4,84
1409970,LC,2021,2,91
1551152,ABBV,2021,7,99
1739940,CI,2021,3,98
943819,RMD,2021,7,85
799233,HTLD,2021,4,29
1267238,AIZ,2021,2,32
1590976,MBUU,2021,4,34
320193,AAPL,2021,9,74
1057877,IDA,2021,6,90
812074,OI,2021,1,23
891532,PESI,2021,6,43
97216,TEX,2021,4,38
318833,TISI,2021,9,43
1070985,CXW,2021,3,17
40704,GIS,2021,0,28
33488,ESCA,2021,8,34
855658,LSCC,2021,9,36
726601,CCBG,2021,2,18
1054905,IOSP,2021,1,55
1509589,CIVI,2021,6,94
1046311,CHH,2021,5,33
1126328,PFG,2021,2,89
1258602,NNI,2021,2,91
1043509,SAH,2021,4,56
100885,UNP,2021,4,29
746598,BRC,2021,9,70
1690820,CVNA,2021,4,57
350698,AN,2021,4,57
5981,AVD,2021,1,75
357173,OSBC,2021,2,25
4281,HWM,2021,4,44
7084,ADM,2021,0,75
1592000,ENLC,2021,6,94
1304421,CNSL,2021,5,52
943452,WAB,2021,4,93
764478,BBY,2021,8,42
714395,GABC,2021,2,25
28412,CMA,2021,2,95
95029,RGR,2021,8,34
8818,AVY,2021,1,1
1070412,CNX,2021,6,54
98362,TKR,2021,4,96
793952,HOG,2021,4,84
26780,DAN,2021,4,24
33185,EFX,2021,2,40
1318605,TSLA,2021,4,88
1472787,FAF,2021,2,32
354647,CVBF,2021,2,18
94049,SCL,2021,1,55
810332,MESA,2021,5,39
1396814,PCRX,2021,7,4
55135,KELYA,2021,3,60
820027,AMP,2021,2,89
920371,SSD,2021,1,35
1335258,LYV,2021,5,37
1002910,AEE,2021,6,21
1015328,WTFC,2021,2,76
857005,PTC,2021,9,66
49826,ITW,2021,4,70
1156388,BGFV,2021,8,48
730263,THO,2021,4,84
9326,BCPC,2021,7,75
1035983,FIX,2021,4,82
35527,FITB,2021,2,95
104918,AVA,2021,6,90
811156,CMS,2021,6,21
1374310,CBOE,2021,2,81
64803,CVS,2021,3,98
91767,SON,2021,1,23
723603,CULP,2021,1,8
1042046,AFG,2021,2,50
1039684,OKE,2021,6,94
866273,MTRX,2021,6,43
851968,MHK,2021,1,8
1545654,ALEX,2021,5,8
1410636,AWK,2021,6,97
1064728,BTU,2021,6,68
72741,ES,2021,6,69
1005757,CSGS,2021,9,20
1043337,SRI,2021,4,88
1177394,SNX,2021,9,20
902791,BBSI,2021,3,60
1573516,MUSA,2021,0,64
37808,FNB,2021,2,25
1420800,ENOV,2021,9,22
1032033,SLM,2021,2,91
12927,BA,2021,4,61
106640,WHR,2021,8,67
316709,SCHW,2021,2,2
922224,PPL,2021,6,69
106040,WDC,2021,9,36
1297184,AMPH,2021,7,4
886346,KAI,2021,1,70
75252,OMI,2021,3,46
59478,LLY,2021,7,59
1069258,KTOS,2021,9,61
230557,SIGI,2021,2,9
55785,KMB,2021,1,58
24741,GLW,2021,1,1
814585,MBI,2021,2,50
16040,CBT,2021,1,55
1514705,SXC,2021,6,68
1488813,CUBI,2021,2,95
785161,EHC,2021,3,17
1336917,UAA,2021,8,26
1636222,WING,2021,0,83
1408075,GPK,2021,1,23
1124804,MDRX,2021,3,46
1783180,CARR,2021,4,82
1403568,ULTA,2021,8,26
818479,XRAY,2021,7,85
750004,LNW,2021,5,49
1001250,EL,2021,8,26
1156375,CME,2021,2,81
46195,BOH,2021,2,51
875045,BIIB,2021,7,99
7536,ARW,2021,9,13
275053,NATR,2021,7,79
1219601,CCK,2021,1,23
1163302,X,2021,1,30
879526,WNC,2021,4,84
277135,GWW,2021,4,86
1145986,ASPN,2021,1,72
1130310,CNP,2021,6,5
917470,ZEUS,2021,1,78
51644,IPG,2021,5,45
1047862,ED,2021,6,69
1230245,PIPR,2021,2,2
37785,FMC,2021,1,75
1320854,RAIL,2021,4,96
1673985,ASIX,2021,1,1
1590895,CZR,2021,5,62
1618673,PFGC,2021,0,0
1071739,CNC,2021,3,98
107263,WMB,2021,6,5
871763,MAN,2021,3,60
766829,SJW,2021,6,97
1144215,AYI,2021,9,13
1164727,NEM,2021,6,16
310158,MRK,2021,7,59
940942,HUBG,2021,4,29
1592386,VIRT,2021,2,81
912463,GES,2021,8,26
875357,BOKF,2021,2,95
1018724,AMZN,2021,8,42
912767,UFPI,2021,1,35
1708055,RBBN,2021,9,10
352825,FSTR,2021,1,96
104169,WMT,2021,8,42
1021162,TGI,2021,4,53
91419,SJM,2021,0,28
1564708,NWSA,2021,5,7
66570,MSA,2021,9,86
896156,ETD,2021,8,80
1164863,NPO,2021,1,22
1037868,AME,2021,9,13
1053352,HTBK,2021,2,18
745308,JOE,2021,5,47
1041803,PSMT,2021,8,42
1403161,V,2021,9,40
1677703,CNDT,2021,3,20
764401,IIIN,2021,1,78
945114,GIC,2021,4,86
1561680,TPH,2021,5,47
1276187,ET,2021,6,64
1174922,WYNN,2021,5,62
1576940,CCS,2021,5,47
102212,UVSP,2021,2,95
90498,SFNC,2021,2,76
916365,TSCO,2021,8,42
1274494,FSLR,2021,9,11
1012019,RUSHA,2021,4,84
913760,SNEX,2021,2,81
842633,TRS,2021,1,44
88205,SPXC,2021,9,22
48898,HUBB,2021,4,82
37996,F,2021,4,24
1402829,ORN,2021,4,19
910521,DECK,2021,8,26
898437,ANIK,2021,7,27
927653,MCK,2021,3,46
882835,ROP,2021,9,66
1466026,MSBI,2021,2,76
1060822,CRI,2021,8,48
43920,GEF,2021,1,23
1633931,BLD,2021,1,71
1032208,SRE,2021,6,5
1467858,GM,2021,4,57
929008,WCC,2021,9,82
1437107,WBD,2021,5,7
74303,OLN,2021,1,1
1320695,THS,2021,0,28
29644,DCI,2021,4,70
1047335,NHC,2021,3,17
1326801,META,2021,5,74
88948,SENEA,2021,0,28
62996,MAS,2021,1,71
1138118,CBRE,2021,5,14
1601548,VVX,2021,9,3
1090727,UPS,2021,4,29
1069899,PAHC,2021,7,79
916076,MLM,2021,1,16
1133421,NOC,2021,9,61
882095,GILD,2021,7,4
861884,RS,2021,1,78
917520,IART,2021,7,85
883984,ICUI,2021,7,85
100493,TSN,2021,0,28
1031203,GPI,2021,4,57
1050797,COLM,2021,8,26
1455684,TPIC,2021,1,11
918541,NNBR,2021,1,70
906553,BYD,2021,5,62
1362004,ICFI,2021,9,43
88941,SMTC,2021,9,36
1584207,OMF,2021,2,51
745732,ROST,2021,8,48
753308,NEE,2021,6,69
702165,NSC,2021,4,29
103145,VECO,2021,9,36
61986,MTW,2021,4,38
1057706,FBP,2021,2,95
915779,DAKT,2021,9,13
58361,LEE,2021,5,7
79282,BRO,2021,2,9
1031296,FE,2021,6,69
1669779,CWH,2021,4,84
77543,TPC,2021,1,43
1616318,VSTO,2021,8,34
1082554,UTHR,2021,7,99
1099219,MET,2021,2,89
105770,WST,2021,7,85
1368458,SBH,2021,8,42
876427,MNRO,2021,4,56
55242,KMT,2021,1,78
1395942,KAR,2021,4,57
354190,AJG,2021,2,50
866787,AZO,2021,4,56
1390777,BK,2021,2,2
1800,ABT,2021,7,59
723254,CTAS,2021,8,58
1597672,RYAM,2021,1,1
760498,BANF,2021,2,95
78003,PFE,2021,7,59
71829,NR,2021,6,77
1001385,NWPX,2021,1,11
1365135,WU,2021,2,40
794367,M,2021,8,48
1090425,LAMR,2021,5,37
14707,CAL,2021,8,48
1535929,VOYA,2021,2,89
1120193,NDAQ,2021,9,81
861842,CATY,2021,2,18
886982,GS,2021,2,2
10795,BDX,2021,7,59
1699150,IR,2021,4,22
1142750,AMN,2021,3,17
91576,KEY,2021,2,95
814453,NWL,2021,8,80
1418135,KDP,2021,0,73
1528849,RH,2021,8,80
1109354,BRKR,2021,7,27
107140,WLY,2021,9,45
723125,MU,2021,9,36
1637207,PLNT,2021,5,65
764622,PNW,2021,6,21
1770450,XRX,2021,9,40
763532,LYTS,2021,9,13
1701605,BKR,2021,6,77
102752,VSEC,2021,9,3
45012,HAL,2021,6,77
918646,EXP,2021,1,8
1616707,W,2021,8,80
1525769,PLAY,2021,5,41
1585689,HLT,2021,5,33
1364885,SPR,2021,4,44
82811,RRX,2021,4,22
320335,GL,2021,2,89
1518715,HMST,2021,2,51
1016281,CSV,2021,3,58
877422,SPTN,2021,0,28
39311,IBCP,2021,2,25
1316835,BLDR,2021,1,71
877212,ZBRA,2021,9,66
949157,CENX,2021,1,68
1647088,WSC,2021,9,60
712515,EA,2021,5,49
110621,RPM,2021,1,72
98677,TR,2021,0,28
769397,ADSK,2021,9,63
1034670,ALV,2021,4,88
80035,PLPC,2021,1,11
1305323,ZVOI,2021,5,92
4977,AFL,2021,2,32
75362,PCAR,2021,4,24
1517175,CHEF,2021,0,28
1124198,FLR,2021,6,43
933136,COOP,2021,2,51
24545,TAP,2021,0,87
1141103,CCRN,2021,3,17
860748,KMPR,2021,2,9
1376339,MDXG,2021,7,85
1498710,SAVE,2021,5,39
15615,MTZ,2021,9,43
1136869,ZBH,2021,7,85
1157408,LRN,2021,9,92
1058090,CMG,2021,0,41
879169,INCY,2021,7,99
69891,FIZZ,2021,0,73
1604821,NTRA,2021,7,4
7789,ASB,2021,2,25
354950,HD,2021,8,80
91142,AOS,2021,6,67
48287,HNI,2021,4,80
921738,PENN,2021,5,62
1546417,BLMN,2021,0,41
789570,MGM,2021,5,62
1046568,PRDO,2021,5,92
19745,CPK,2021,6,5
1050915,PWR,2021,6,43
18498,GCO,2021,8,48
90896,SKY,2021,4,47
833079,MTH,2021,5,47
1060391,RSG,2021,6,58
1324404,CF,2021,1,75
884219,VVI,2021,5,49
917491,FARO,2021,9,66
1116942,TTMI,2021,9,66
92230,TFC,2021,2,95
1069202,LII,2021,4,82
1315257,KOP,2021,1,96
789933,NC,2021,1,16
763901,BPOP,2021,2,95
910638,DDD,2021,9,66
874499,GPOR,2021,6,94
30305,DCO,2021,9,44
1101302,ENTG,2021,9,13
23217,CAG,2021,0,28
933034,STRT,2021,4,88
791963,OPY,2021,2,2
16160,CALM,2021,0,28
915840,BZH,2021,5,47
1039065,OSIS,2021,9,36
4457,UHAL,2021,4,29
896878,INTU,2021,9,40
703604,DSGR,2021,4,86
885550,CACC,2021,2,91
79879,PPG,2021,1,72
46619,HEI,2021,9,53
1067701,URI,2021,4,19
92122,SO,2021,6,21
944809,OPK,2021,7,4
70318,THC,2021,3,17
96943,TFX,2021,7,85
1580905,IBP,2021,1,71
874501,AMBC,2021,2,50
912615,URBN,2021,8,26
354707,HE,2021,6,90
26324,CW,2021,9,3
1005210,SPH,2021,6,64
1124941,BECN,2021,1,71
1751788,DOW,2021,1,1
1069878,TREX,2021,1,71
1390478,SLS,2021,7,4
793733,SKYW,2021,5,39
1368622,AVAV,2021,9,61
1275187,ANGO,2021,7,27
1324948,RBC,2021,4,96
728535,JBHT,2021,4,29
38725,FELE,2021,4,22
860731,TYL,2021,9,60
1021561,NUS,2021,7,79
1397911,LPLA,2021,2,2
1065280,NFLX,2021,5,65
1296445,ORA,2021,6,90
1320461,CPS,2021,4,88
816956,CNMD,2021,7,85
1040130,PETS,2021,7,79
1657853,HTZ,2021,5,57
278166,CVCO,2021,4,47
86312,TRV,2021,2,9
716634,RDI,2021,5,37
1590715,AREC,2021,6,68
825542,SMG,2021,0,58
1014111,GLAE,2021,9,49
924822,MLR,2021,4,84
1378992,BERY,2021,1,23
74260,ORI,2021,2,9
29905,DOV,2021,4,70
1116132,TPR,2021,8,26
109380,ZION,2021,2,76
1144980,ABG,2021,4,57
712534,FRME,2021,2,25
790051,CSL,2021,1,96
1282648,BATL,2021,6,94
39911,GPS,2021,8,48
1043604,JNPR,2021,9,10
1474735,GNRC,2021,6,21
1022671,STLD,2021,1,30
866706,ESE,2021,9,13
1114483,ITGR,2021,7,85
1334036,CROX,2021,8,26
920760,LEN,2021,5,47
29534,DG,2021,8,42
60519,LPX,2021,1,71
1396009,VMC,2021,1,16
913142,BDC,2021,9,13
928658,CVLG,2021,4,29
927066,DVA,2021,3,17
880266,AGCO,2021,4,38
92380,LUV,2021,5,39
277509,FSS,2021,4,22
1012100,SEE,2021,1,23
1097864,ON,2021,9,36
854560,GSBC,2021,2,18
1265131,HTH,2021,2,51
1524472,XYL,2021,9,67
1037038,RL,2021,8,26
1381197,IBKR,2021,2,81
73124,NTRS,2021,2,76
701985,BBWI,2021,8,26
16058,CACI,2021,9,43
72331,NDSN,2021,1,70
34088,XOM,2021,6,31
1173514,HY,2021,4,24
217346,TXT,2021,4,53
1488139,AMRC,2021,6,21
1276520,GNW,2021,2,32
1287213,PLOW,2021,4,84
863110,ARTNA,2021,6,97
64040,SPGI,2021,9,45
317540,COKE,2021,0,73
746838,UIS,2021,9,20
937098,TNET,2021,3,60
93389,SMP,2021,4,88
310142,SXT,2021,0,75
897077,ALG,2021,4,38
731766,UNH,2021,3,98
732717,T,2021,5,52
4962,AXP,2021,2,40
1013880,TTEC,2021,9,20
1040470,AEHR,2021,9,36
796343,ADBE,2021,9,63
720672,SF,2021,2,2
915389,EMN,2021,1,1
1101215,BFH,2021,2,40
277948,CSX,2021,4,29
1133311,TZOO,2021,5,65
1361538,PRIM,2021,6,43
37472,FLXS,2021,8,35
1674168,HGV,2021,5,33
108516,WOR,2021,1,35
1417398,HI,2021,1,70
1385280,CNK,2021,5,37
868671,GBCI,2021,2,76
1666700,DD,2021,1,1
49196,HBAN,2021,2,25
59527,LECO,2021,4,78
55067,K,2021,0,28
1158463,JBLU,2021,5,39
868857,ACM,2021,9,43
759944,CFG,2021,2,95
10329,BSET,2021,8,80
1597033,SABR,2021,5,15
1049502,MKSI,2021,9,36
60714,LXU,2021,1,75
1708035,ECVT,2021,1,55
708955,FFBC,2021,2,95
1337298,FF,2021,1,55
876523,EZPW,2021,2,6
891014,MTX,2021,1,72
894405,ARCB,2021,4,29
320187,NKE,2021,8,26
1041061,YUM,2021,0,41
75677,PKG,2021,1,23
1792044,VTRS,2021,7,59
27904,DAL,2021,5,39
813762,IEP,2021,1,1
33213,EQT,2021,6,54
1286681,DPZ,2021,0,41
1723128,AMRX,2021,7,99
1490281,GRPN,2021,5,65
84839,ROL,2021,1,58
795403,WTS,2021,9,67
1441236,CLW,2021,1,23
1710366,CEIX,2021,6,68
850429,TG,2021,1,1
21665,CL,2021,1,55
1005731,IDT,2021,9,52
81362,KWR,2021,1,55
883948,AUB,2021,2,25
67347,MOD,2021,4,22
1280058,BLKB,2021,9,92
100726,UFI,2021,1,1
949870,SAM,2021,0,87
1056285,KIRK,2021,8,42
1326380,GME,2021,8,65
928054,FTK,2021,6,77
1046257,INGR,2021,0,75
1688568,DXC,2021,9,20
78814,PBI,2021,9,40
97210,TER,2021,9,66
1336920,LDOS,2021,9,61
719413,HL,2021,1,16
63276,MAT,2021,8,74
313143,HAE,2021,7,27
8858,AVT,2021,9,13
1091667,CHTR,2021,5,52
73756,OII,2021,9,77
1579684,GCI,2021,5,7
46250,HWKN,2021,1,58
852772,DENN,2021,5,41
1464343,ATLC,2021,2,91
822818,CLH,2021,1,58
1121484,OIS,2021,6,77
1692115,SWX,2021,6,5
742278,RES,2021,6,77
1611647,FRPT,2021,0,28
1078271,EXTR,2021,9,10
30625,FLS,2021,9,22
1043277,CHRW,2021,4,29
1675149,AA,2021,1,68
64996,MCY,2021,2,32
76267,PKE,2021,1,44
1439095,MRC,2021,1,11
1065059,LEU,2021,6,54
719220,STBA,2021,2,76
51434,IP,2021,1,23
1531152,BJ,2021,8,42
1755672,CTVA,2021,1,75
764180,MO,2021,0,87
1674101,VRT,2021,9,13
1000228,HSIC,2021,3,46
775158,OSK,2021,4,84
1564408,SNAP,2021,5,74
59558,LNC,2021,2,89
799167,MRTN,2021,4,12
882184,DHI,2021,5,47
1339605,HEES,2021,4,19
1084961,ECPG,2021,2,91
1065088,EBAY,2021,8,65
50725,GFF,2021,1,71
1630805,BW,2021,6,93
42582,GT,2021,4,24
78890,BCO,2021,2,81
31235,KODK,2021,1,1
1691303,HCC,2021,6,68
72333,JWN,2021,8,48
1285785,MOS,2021,1,75
750577,HWC,2021,2,51
1099800,EW,2021,7,85
1034054,SBAC,2021,5,52
1282637,NEU,2021,1,55
876437,MTG,2021,2,32
95552,SUP,2021,4,24
1328581,BCC,2021,1,71
785956,JJSF,2021,0,28
1652044,GOOGL,2021,5,63
794170,TOL,2021,5,47
901491,PZZA,2021,0,41
885639,KSS,2021,8,48
1022079,DGX,2021,7,46
105634,EME,2021,6,43
1086222,AKAM,2021,9,63
310354,SXI,2021,9,22
14272,BMY,2021,7,59
1260221,TDG,2021,4,53
1111335,VC,2021,4,88
927628,COF,2021,2,95
923796,GEO,2021,3,49
1349436,SD,2021,6,94
1604028,WMS,2021,1,67
63754,MKC,2021,0,28
1022321,GEL,2021,6,31
1466593,OTTR,2021,6,11
835011,MGPI,2021,0,75
1137774,PRU,2021,2,89
1014739,OPCH,2021,3,17
1604778,QRVO,2021,9,10
