cik,tic,Year,cluster_10,cluster_100
850460,WIRE,2021,5,45
352541,LNT,2021,4,11
1704715,AMR,2021,6,9
1575515,SFM,2021,7,72
1125376,ENSG,2021,3,40
1674335,JELD,2021,5,79
1023128,LAD,2021,0,31
1262039,FTNT,2021,8,6
1122976,AVNT,2021,6,59
1128928,FLO,2021,7,85
58492,LEG,2021,0,34
40533,GD,2021,1,1
1370946,OC,2021,5,79
1469367,RUN,2021,5,84
858655,HAYN,2021,6,99
1486159,CHRD,2021,4,61
70145,NFG,2021,4,11
77476,PEP,2021,7,94
1593034,ENDPQ,2021,3,35
1140536,WTW,2021,2,66
1353283,SPLK,2021,8,37
912728,FWRD,2021,1,90
73309,NUE,2021,6,65
1754301,FOXA,2021,9,50
882796,BCRX,2021,3,49
1309402,GPRE,2021,4,9
1524358,VAC,2021,0,25
80424,PG,2021,7,63
1551182,ETN,2021,5,84
1283699,TMUS,2021,9,8
1158172,SCOR,2021,9,62
8947,AZZ,2021,5,79
804328,QCOM,2021,8,16
1120370,BWEN,2021,5,45
1655075,AFIIQ,2021,5,41
1361658,TNL,2021,0,75
40987,GPC,2021,0,87
1320414,SEM,2021,3,40
1584509,ARMK,2021,0,27
1466301,CLVSQ,2021,3,4
1552033,TRU,2021,2,43
1281761,RF,2021,2,2
93410,CVX,2021,4,61
76282,PKOH,2021,5,73
19584,CHE,2021,3,40
723531,PAYX,2021,8,70
1530804,TROX,2021,6,3
101984,UEIC,2021,0,0
910329,MED,2021,7,94
5513,UNM,2021,2,56
31462,ECL,2021,6,29
1338749,PCH,2021,9,48
1409171,TITN,2021,1,45
821026,ANDE,2021,7,18
817720,SYNA,2021,8,76
5272,AIG,2021,2,10
1013871,NRG,2021,4,11
1111928,IPGP,2021,8,78
1393818,BX,2021,2,19
66382,MLKN,2021,5,27
812011,MTN,2021,0,25
730708,SBCF,2021,2,51
1672013,GOLF,2021,0,34
1109242,HAFC,2021,2,22
883945,USAK,2021,1,77
1527166,CG,2021,2,19
1421461,IPI,2021,6,3
355811,GNTX,2021,0,67
1262823,WLK,2021,6,3
26058,CTS,2021,8,91
14930,BC,2021,0,34
1637459,KHC,2021,7,85
892553,GTLS,2021,5,7
1345016,YELP,2021,9,50
844965,TTI,2021,4,74
1318220,WCN,2021,1,24
819793,AIN,2021,5,73
1175454,FLT,2021,8,43
936468,LMT,2021,1,39
29989,OMC,2021,9,62
352915,UHS,2021,3,40
98222,TDW,2021,4,33
1393066,RFP,2021,6,15
200406,JNJ,2021,3,49
890564,ASGN,2021,1,82
42888,GGG,2021,5,73
59440,VGR,2021,7,5
719955,WSM,2021,0,64
828944,WSFS,2021,2,36
102037,UVV,2021,7,18
1084869,FLWS,2021,0,57
1481792,QUAD,2021,5,83
3453,MATX,2021,1,90
1747079,BALY,2021,0,80
87347,SLB,2021,4,74
896159,CB,2021,2,97
1104657,MTRN,2021,6,59
47111,HSY,2021,7,47
1549922,SMLP,2021,4,38
25232,CUZ,2021,9,30
1323885,ATRC,2021,3,13
