cik,tic,Year,GICS_Sector
850460,WIRE,2021,20.0
352541,LNT,2021,55.0
1704715,AMR,2021,15.0
1575515,SFM,2021,30.0
1125376,ENSG,2021,35.0
1674335,JELD,2021,20.0
1023128,LAD,2021,25.0
1262039,FTNT,2021,45.0
1122976,AVNT,2021,15.0
1128928,FLO,2021,30.0
58492,LEG,2021,25.0
40533,GD,2021,20.0
1370946,OC,2021,20.0
1469367,RUN,2021,20.0
858655,HAYN,2021,15.0
1486159,CHRD,2021,10.0
70145,NFG,2021,55.0
77476,PEP,2021,30.0
1593034,ENDPQ,2021,35.0
1140536,WTW,2021,40.0
1353283,SPLK,2021,45.0
912728,FWRD,2021,20.0
73309,NUE,2021,15.0
1754301,FOXA,2021,50.0
882796,BCRX,2021,35.0
1309402,GPRE,2021,10.0
1524358,VAC,2021,25.0
80424,PG,2021,30.0
1551182,ETN,2021,20.0
1283699,TMUS,2021,50.0
1158172,SCOR,2021,50.0
8947,AZZ,2021,20.0
804328,QCOM,2021,45.0
1120370,BWEN,2021,20.0
1655075,AFIIQ,2021,20.0
1361658,TNL,2021,25.0
40987,GPC,2021,25.0
1320414,SEM,2021,35.0
1584509,ARMK,2021,25.0
1466301,CLVSQ,2021,35.0
1552033,TRU,2021,20.0
1281761,RF,2021,40.0
93410,CVX,2021,10.0
76282,PKOH,2021,20.0
19584,CHE,2021,35.0
723531,PAYX,2021,45.0
1530804,TROX,2021,15.0
101984,UEIC,2021,25.0
910329,MED,2021,30.0
5513,UNM,2021,40.0
31462,ECL,2021,15.0
1338749,PCH,2021,60.0
1409171,TITN,2021,20.0
821026,ANDE,2021,30.0
817720,SYNA,2021,45.0
5272,AIG,2021,40.0
1013871,NRG,2021,55.0
1111928,IPGP,2021,45.0
1393818,BX,2021,40.0
66382,MLKN,2021,20.0
812011,MTN,2021,25.0
730708,SBCF,2021,40.0
1672013,GOLF,2021,25.0
1109242,HAFC,2021,40.0
883945,USAK,2021,20.0
1527166,CG,2021,40.0
1421461,IPI,2021,15.0
355811,GNTX,2021,25.0
1262823,WLK,2021,15.0
26058,CTS,2021,45.0
14930,BC,2021,25.0
1637459,KHC,2021,30.0
892553,GTLS,2021,20.0
1345016,YELP,2021,50.0
844965,TTI,2021,10.0
1318220,WCN,2021,20.0
819793,AIN,2021,20.0
1175454,FLT,2021,45.0
936468,LMT,2021,20.0
29989,OMC,2021,50.0
352915,UHS,2021,35.0
98222,TDW,2021,10.0
1393066,RFP,2021,15.0
200406,JNJ,2021,35.0
890564,ASGN,2021,20.0
42888,GGG,2021,20.0
