loss function 2
batch size 128
epoch 100
=============load data=============
train data shape: torch.Size([34683, 256])
train label shape: torch.Size([34683])
test data shape: torch.Size([1197, 256])
test label shape: torch.Size([1197])
length of similar_df: 2282

Load data finished



=============dataset preperation=============
relation matrix shape: torch.Size([1197, 1197])

Data preperation finished



=============model training=============
Epoch [1/100], train_avg_Loss: 0.7782
Epoch [1/100], test_avg_Loss: 0.7549

Epoch [2/100], train_avg_Loss: 0.7501
Epoch [2/100], test_avg_Loss: 0.7457

Epoch [3/100], train_avg_Loss: 0.7468
Epoch [3/100], test_avg_Loss: 0.7444

Epoch [4/100], train_avg_Loss: 0.7433
Epoch [4/100], test_avg_Loss: 0.7471

Epoch [5/100], train_avg_Loss: 0.7412
Epoch [5/100], test_avg_Loss: 0.7375

Epoch [6/100], train_avg_Loss: 0.7401
Epoch [6/100], test_avg_Loss: 0.7402

Epoch [7/100], train_avg_Loss: 0.7391
Epoch [7/100], test_avg_Loss: 0.7416

Epoch [8/100], train_avg_Loss: 0.7365
Epoch [8/100], test_avg_Loss: 0.7378

Epoch [9/100], train_avg_Loss: 0.7369
Epoch [9/100], test_avg_Loss: 0.7352

Epoch [10/100], train_avg_Loss: 0.7357
Epoch [10/100], test_avg_Loss: 0.7339

Epoch [11/100], train_avg_Loss: 0.7351
Epoch [11/100], test_avg_Loss: 0.7326

Epoch [12/100], train_avg_Loss: 0.7347
Epoch [12/100], test_avg_Loss: 0.7334

Epoch [13/100], train_avg_Loss: 0.7336
Epoch [13/100], test_avg_Loss: 0.7307

Epoch [14/100], train_avg_Loss: 0.7333
Epoch [14/100], test_avg_Loss: 0.7334

Epoch [15/100], train_avg_Loss: 0.7326
Epoch [15/100], test_avg_Loss: 0.7319

Epoch [16/100], train_avg_Loss: 0.7331
Epoch [16/100], test_avg_Loss: 0.7332

Epoch [17/100], train_avg_Loss: 0.7321
Epoch [17/100], test_avg_Loss: 0.7328

Epoch [18/100], train_avg_Loss: 0.7322
Epoch [18/100], test_avg_Loss: 0.7300

Epoch [19/100], train_avg_Loss: 0.7318
Epoch [19/100], test_avg_Loss: 0.7339

Epoch [20/100], train_avg_Loss: 0.7314
Epoch [20/100], test_avg_Loss: 0.7336

Epoch [21/100], train_avg_Loss: 0.7307
Epoch [21/100], test_avg_Loss: 0.7314

Epoch [22/100], train_avg_Loss: 0.7313
Epoch [22/100], test_avg_Loss: 0.7306

Epoch [23/100], train_avg_Loss: 0.7306
Epoch [23/100], test_avg_Loss: 0.7309

Epoch [24/100], train_avg_Loss: 0.7302
Epoch [24/100], test_avg_Loss: 0.7326

Epoch [25/100], train_avg_Loss: 0.7302
Epoch [25/100], test_avg_Loss: 0.7320

Epoch [26/100], train_avg_Loss: 0.7294
Epoch [26/100], test_avg_Loss: 0.7281

Epoch [27/100], train_avg_Loss: 0.7298
Epoch [27/100], test_avg_Loss: 0.7299

Epoch [28/100], train_avg_Loss: 0.7297
Epoch [28/100], test_avg_Loss: 0.7332

Epoch [29/100], train_avg_Loss: 0.7299
Epoch [29/100], test_avg_Loss: 0.7308

Epoch [30/100], train_avg_Loss: 0.7290
Epoch [30/100], test_avg_Loss: 0.6597

Epoch [31/100], train_avg_Loss: 0.7296
Epoch [31/100], test_avg_Loss: 0.7312

Epoch [32/100], train_avg_Loss: 0.7288
Epoch [32/100], test_avg_Loss: 0.7290

Epoch [33/100], train_avg_Loss: 0.7286
Epoch [33/100], test_avg_Loss: 0.7290

Epoch [34/100], train_avg_Loss: 0.7286
Epoch [34/100], test_avg_Loss: 0.7281

Epoch [35/100], train_avg_Loss: 0.7281
Epoch [35/100], test_avg_Loss: 0.7286

Epoch [36/100], train_avg_Loss: 0.7277
Epoch [36/100], test_avg_Loss: 0.7284

Epoch [37/100], train_avg_Loss: 0.7277
Epoch [37/100], test_avg_Loss: 0.7312

Epoch [38/100], train_avg_Loss: 0.7282
Epoch [38/100], test_avg_Loss: 0.7252

Epoch [39/100], train_avg_Loss: 0.7277
Epoch [39/100], test_avg_Loss: 0.7327

Epoch [40/100], train_avg_Loss: 0.7282
Epoch [40/100], test_avg_Loss: 0.7291

Epoch [41/100], train_avg_Loss: 0.7284
Epoch [41/100], test_avg_Loss: 0.7296

Epoch [42/100], train_avg_Loss: 0.7275
Epoch [42/100], test_avg_Loss: 0.7300

Epoch [43/100], train_avg_Loss: 0.7279
Epoch [43/100], test_avg_Loss: 0.7262

Epoch [44/100], train_avg_Loss: 0.7282
Epoch [44/100], test_avg_Loss: 0.7287

Epoch [45/100], train_avg_Loss: 0.7276
Epoch [45/100], test_avg_Loss: 0.7292

Epoch [46/100], train_avg_Loss: 0.7283
Epoch [46/100], test_avg_Loss: 0.7264

Epoch [47/100], train_avg_Loss: 0.7273
Epoch [47/100], test_avg_Loss: 0.7258

Epoch [48/100], train_avg_Loss: 0.7278
Epoch [48/100], test_avg_Loss: 0.7286

Epoch [49/100], train_avg_Loss: 0.7273
Epoch [49/100], test_avg_Loss: 0.7294

Epoch [50/100], train_avg_Loss: 0.7269
Epoch [50/100], test_avg_Loss: 0.7300
